,text
0,"Israel has played a key role in US aggression towards Iran
#Iran #Soleimani #Israel
https://t.co/zQtpd35wmr"
1,"‘As the dust settles on the #US assassination of #Soleimani, Putin is poised to secure influence in the region‘ https://t.co/NCDWHkPLOR"
2,"Fantastic !
And this is exactly how you should think if you love living in freedom!
If not?
Why are you here?
Freed… https://t.co/K7JC8ZbjiI"
3,General #Soleimani cover page News week.... https://t.co/fdLQ89ORkI
4,@ejmalrai Any confirmed news about #MichaelDAndrea  #Cia #Afghanistan ? #Soleimani #Iran
5,[audio] My half-hour #BrexitNight chat with @JasonBermas - mainly about #Coronavirus - killing of Michael D’Andrea… https://t.co/DTgACjJV3y
6,Paintings of #Martyrs(painted by an Iranian artist) adorn the walls leading to the Shrine of the Mother of the Resi… https://t.co/XLKbzimsPr
7,"Well thanks to Trump for killing the #1 guy in the world to beat #Daesh.

(Whereas as a killer of Iranian protester… https://t.co/VzcZhmVO0y"
8,"The CIA’s Prince Of Darkness Is Dead

By Steve Brown

#Iran #Tahran #Iraq #Baghdad #USA #Trump #washington #US_Army… https://t.co/9UIvehkmF0"
9,"#Iran should specify its threats against US terrorist hosting countries in the #Gulf, in #Saudi occupied #Arabia, t… https://t.co/PVhZMalWNP"
10,Dear Mr. President @POTUS It is the time to take @niinisto's marshal off from the battlefield like #Soleimani. My v… https://t.co/3vleFcTwsl
11,"GOD, engage the oppressors with other oppressors, and bring us out from among them safe!
First one was #Bolton, nex… https://t.co/cgftU4oysI"
12,"#SOLEIMANI is not just an individual, he is a school of thought.
#HardRevenge
#Iran https://t.co/r6aGCKN4g8"
13,@ggreenwald It is a delusion. The US just assassinated #Soleimani on a foreign land as he was delivering a message… https://t.co/EDNFlfevvP
14,@BernieSanders POSSES MORE of a  #threat to the USA than  #Soleimani #Baghdad Bin Laden COMBINED!!  #Sanders could… https://t.co/dlJI1DSF6x
15,"How #Soleimani’s slaying could affect #Iran-#Saudi ties https://t.co/P8fTk4AbqY 
@jafariysaeid"
16,"During her visit to #Iran's Embassy in Baghdad, UN Ambassador to #Iraq was seated next to pictures of Qassem… https://t.co/ETXIARu4rz"
17,"@Lrihendry @Rita_Katz @realDonaldTrump Absolutely.👍
As an #Iranian I'm saying.
🥰😍we love president #Trump.😍🥰
He has… https://t.co/pfvoyV5qzG"
18,"https://t.co/ATevE7Zu60
#Iran: Torching Pictures of Khamenei, #Soleimani in Tehran, Other Cities https://t.co/8oKZSuEJFv…
#FreeIran2020"
19,"‘As the dust settles on the US assassination of #Soleimani, #Putin is poised to secure influence in the region‘ https://t.co/NCDWHkPLOR"
20,A two-part video from an #Iranian woman to @POTUS thanking him for bravely ridding the middle east of #Soleimani https://t.co/AjC3aQktVc
21,@5sky13 Worst. I understand how live in Europe. Helping criminals Saudi. Sadly there are many like you.#SaudiLackey  #Soleimani
22,"This is Iranian zeal
#Soleimani https://t.co/sINJjY938n"
23,"President @realDonaldTrump did the absolute right thing for the world when he took out Soleimani. 

Here’s why! 

“… https://t.co/VChPxfSAQE"
24,"“How #Putin stands to gain, a month after #Soleimani's assassination“ writes Nizar Mohamad https://t.co/NCDWHkPLOR"
25,Another blow for #warmongers: #Iran's latest act of retaliation for the killing of Iranian top commander #Soleimani… https://t.co/5rwKU1GwDF
26,"#US border police 'ordered' to detain Iranians, Lebanese and #Palestinians in wake of #Soleimani killing #Iran… https://t.co/vKLi5zfH1R"
27,"Combat vid 18+

Same vid, just a more romantic start^^

#HTS raining Elephant Rockets on #Assad and #Soleimani merc… https://t.co/KieGVNJY71"
28,"“How #Putin stands to gain, a month after #Soleimani's assassination“ https://t.co/NCDWHkPLOR"
29,@Amirabdolahian: Gen. #Soleimani enduring hero of resistance https://t.co/pzNpiW8Z7K https://t.co/2pGpOmt2ZF
30,"Combat vid 18+

#HTS raining Elephant Rockets on #Assad and #Soleimani mercs in #Aleppo https://t.co/f0Mqil5aTe"
31,🔴 LIVE PODCAST: Trump's Iranian Policy Is Working on @Spreaker #iran #irgc #khamenei #soleimani #war https://t.co/26dLFGay0r
32,The fall of Qasem #Soleimani and the Mahdi Doctrine #Iran https://t.co/B2HZMOtfAo
33,"For now, his beards are trimmed to resemble #Soleimani. Next stage in progress will be to achieve Hassan #Nasrallah… https://t.co/vtfDdWJhjv"
34,In #AlJazeera #Upfront: #UN forensic expert says she believes the killing of #Iran's #Quds elite commander… https://t.co/hzG7Ss7Dvi
35,@KellyannePolls @KamalaHarris is pretending she's @IlhanMN at #Soleimani announcement...@TheDemocrats are ALL disgu… https://t.co/rdAzc7rm0x
36,"@SecPompeo Trump terrorists
#trump_terrorist
#trump_terrorist
🌹 #Soleimani
#HardRevenge"
37,Awesome article on how #Russia is positioning itself after #Soleimani's assasination by @NizarMohamad1… https://t.co/DKHWOk5uZf
38,Even lifelong Democrat #JoeLieberman is praising President Trump's precision takedown of Iranian terrorist… https://t.co/LloxVZFCqn
39,"USA visa ban is what you get when you protest the killing of the renowned terrorist like #Soleimani 

USA visa ban… https://t.co/gipyOHqIKG"
40,@SeanDNaylor @realDonaldTrump @Yahoo I hope al-Rimi remembered to delete all the porn links on his laptop before he… https://t.co/XWnVk41Lpb
41,I hope al-Rimi remembered to delete all the porn links on his laptop before he was misted by a US drone attack.… https://t.co/HgR2btOIDF
42,@Lrihendry @Rita_Katz @realDonaldTrump I 💯% agree @Lrihendry! The response of @TheDemocrats to the termination of… https://t.co/UWkZPBfOYI
43,@Rita_Katz @realDonaldTrump I hope al-Rimi remembered to delete all the porn links on his laptop before he was mist… https://t.co/9tMZWmcK7a
44,"@sahouraxo #Trump’s aim of #killing #General #Soleimani was to make #Bolton silent
https://t.co/JkkDe1R37h"
45,"The opening month of 2020 launched with a significant strategic blow to #Iran and its regional #Allies, with the as… https://t.co/Mg8OQbgClZ"
46,"@TheGeneral_0 @JordynTrump1 @realDonaldTrump Any news report with the word, 'likely', has me thinking...🤔...I want… https://t.co/cUjji7LbT6"
47,"@mcspocky #Trump’s aim of #killing #General #Soleimani was to make #Bolton silent
https://t.co/JkkDe1R37h"
48,"@TheNatlInterest Nonsense! This is a criminal &amp; corrupt regime that has for 40 yrs, brutally oppressed, looted… https://t.co/5G7V8fCh5e"
49,I’m disagree with @realDonaldTrump on this. Too may children &amp; other civilians have stumbled across land mines year… https://t.co/LQNfXgcdqc
50,How Iran's Soleimani became a US target https://t.co/imcUwcq9bs via @voxdotcom 🇮🇷🌍🇺🇸 #Soleimani #Iran #USA #MiddleEast
51,"#Occupy: Never Forget.

The new year began with a state-sanctioned #Assassination of two sovereign states' military… https://t.co/b0F84AXuMZ"
52,"@heavendone1 Cz I'm confused with you #Iranian people who are protesting... 

By the way,are you people happy that… https://t.co/VqE04DBnfO"
53,"It’s been 30 days since the terrorist #Soleimani was killed then a drone strike...

...Still waiting for the #Iraqi… https://t.co/NdtloF7G9n"
54,"When he left Damascus for Baghdad late Thursday evening January 2, Qasem #Soleimani was flying high,… https://t.co/kkKvsOEM8H"
55,"Under Soleimani's guidance, Iran's militias also operated well beyond Iraq.

Read more 👉 https://t.co/RutEJK7mnZ… https://t.co/CQD0h02dt2"
56,"The killing of #Soleimani and the #Ukrainian airline shootdown  make the regime in Tehran more vulnerable, and pote… https://t.co/yijxI4SmQ3"
57,GoldenRule: U need to b long 4 times in Gold than in equity to hedge events like #Soleimani #CoronaVirus #Budget… https://t.co/UvNujsVRkJ
58,"Corporate and social media #censorship is followed by academic censorship, #Iran #Soleimani https://t.co/2PIA0M23er"
59,"If the Middle East wasn't heading towards all out war before with the #Soleimani murder, it surely is now. 

https://t.co/fGEWiCIg9x"
60,"#Iran: Torching Pictures of Khamenei, #Soleimani in Tehran, Other Cities https://t.co/Fcb2QjWjSw
#FreeIran2020 
#IranProtests"
61,The longest month in the recent #history is over. I feel we need to celebrate the fact that #January has come to an… https://t.co/ePcwTb4exT
62,"@jchaltiwanger these numbers are not important .They are all injured.
#Soleimani was the right hand of #Khamenei .… https://t.co/pd9IS4J7S1"
63,"#Trump cares about America but will order a hit to distract #Soleimani 
#Trump is of genuine intent but is heard de… https://t.co/JBcMCOQ6QT"
64,"@EmmanuelMacron Trump terrorists
#trump_terrorist
#trump_terrorist

🌹 #Soleimani
#HardRevenge"
65,"@D43SHHUNT3R @modaraneh @topchanneltv Wow, thank you. This is an amazing work. We will never forget or forgive thos… https://t.co/1SNH8iCKjM"
66,"Rick Wiles reveals the disturbing truth about Israel role in 9/11
#Iraq #IranVSAmerica #AfghanistanPlaneCrash… https://t.co/kejUO7Tqaa"
67,donald j #trump murder of Mr #Soleimani was a high tech lynching of an employee of Iran government who was inside a… https://t.co/8txRzkSe25
68,"1/2 Although I supported @POTUS's military strike, in a combat zone, on #Soleimani, I can understand why you crosse… https://t.co/3Sl5F2t4oh"
69,"If trump can claim ""national security grounds"" for merciless murder of Mr #Soleimani, who was an employee of Iran g… https://t.co/pPQxdxmWg2"
70,"@Guadi_Pelosista @SpeakerPelosi #NancyPelosiWorstSpeaker

Even the Iranian People SEE thru your lies &amp; Tweet:… https://t.co/NiZ44bRVD7"
71,@KyleKulinski they killed #Soleimani because they needed a hide line distraction for the the world smh… https://t.co/e1YMHPnvf4
72,#Soleimani was also killed earlier in January. It feels like it was months ago... https://t.co/6Hzr8NGZA5
73,The #Soleimani killing threatened to derail the easing of Arab-#Iran tensions. https://t.co/5jLiwFdfLq
74,@ChrisMurphyCT #ChrisMurphy US just killed leader of Al-Qaeda in the Arabian peninsula. He may not be as close to t… https://t.co/39YBL9xPuC
75,"This was the only photo I had posted on my Instagram
A day after his martyrdom #Soleimani 
Now I see it's gone! The… https://t.co/WWGajfUn8I"
76,"👩🏽‍⚕️Thought it was:
#JamalKhashoggi 
Or #Soleimani
#TrumpDontPayDebt
#DeadQatarisKushnersDevilBuild https://t.co/moIacwJb1w"
77,"@Alyssa_Milano Time to impeach Trump for violation of the #emoluments clause, #corruption &amp; war crimes...most recen… https://t.co/dVZLUlqiId"
78,"@persianintel2 @ArianeTabatabai @BrianMastFL, as an Iranian I appreciate taking the child-killer #Soleimani out of… https://t.co/vPuLoonU3k"
79,"January 2020:
- #Soleimani assassinated
- #Coronavirus outbreak
- #Kobe died in helicopter crash
- #Brexit"
80,@MPPregent .@RealScottRitter 🍏to🍊. A better historical connection may be #Soleimani and #Robespierre with a hit of… https://t.co/02GnG1IgXx
81,https://t.co/ZuMl6MnoRo #Soleimani worked with the US early on after 9-11 in Afghanistan chasing after Osama bin La… https://t.co/8ILXiNEaOt
82,"Under these conditions, shouldn't be focus a little more towards #Asia?

The murder of General #Soleimani, who play… https://t.co/6TOhIT0Yin"
83,Let’s return for a moment to Iran's attack on American bases in Iraq on the 8th in response to the murder of its Ge… https://t.co/yORT8VteKe
84,Why Big Brother Fears Qassem Soleimani https://t.co/gv9aGRN92y #Soleimani #Iran #CheGuevara
85,"@iran_policy-#Iran: HQ to ""Execute Khomeini’s Order"" Targeted, #Khamenei and #Soleimani’s Posters Torched https://t.co/3sexgTQU3v
#FreeIran"
86,"@mahditabar And suddenly all the Poems of the World were about you
#soleimani"
