,text
0,"If you tell me a ""being of pure white light"" speaks to Donald J. #Trump, I'll wonder if they were #Elohim."
1,".@TheDemocrats in 2016: ""Don't vote for #Trump, he will start new wars!!!""

@TheDemocrats in 2020: ""Don't vote for… https://t.co/qcjcBxxWFD"
2,@4Awesometweet I'm sure #trump will find a way to compliment himself.
3,@MikeHun84192140 @JadeisFedUp @MPFIED @davematt88 Really?  How?  Name one thing that #Trump has done that's best of… https://t.co/WGYV3RlGTJ
4,"@mitchellvii Best outcome: you're purposely trolling.

Worst outcome: You and the people who rely on you for… https://t.co/yZW1GqXLGF"
5,".
Washington state woman becomes first American fatality from Fucking Moron #Trump's #coronavirus #hoax… https://t.co/iT1h86bVNn"
6,"#Trump is actively encouraging
magas
to #Vote for @BernieSanders
why you ask?
so he
&amp;
his 'followers'
can SCREAM… https://t.co/LIUZSLSVPG"
7,"#CoronaVirus. #Biden contro #Trump. 'Absolutely dangerous': Biden slams Trump's claim coronavirus is a hoax.
https://t.co/op81BjV6JE"
8,@DonaldJTrumpJr @realDonaldTrump At least his presidency won't be won with the help of the russians. #trump&amp;putin 2016win
9,"Another uninspiring performance coming up. Wonder if he will ignore the 1st death, just announced on CNN. Difficult… https://t.co/cfvdsmt2Vc"
10,"83-year-old #PopeFrancis, has canceled all appearances for the third straight day with cold and flu symptoms resemb… https://t.co/Xu31AdC4xo"
11,"""Populists attract some extremists. The populist candidate never disavows them because they are his strongest suppo… https://t.co/lbd7Ryea7g"
12,#Trump Is Asking For A Do-Over After His First Coronavirus Press Conference Flopped now trending on Monkey Viral - https://t.co/80L6LnLp4i
13,Donald Trump’s war on coronavirus is just his latest war on truth | Jonathan Freedland https://t.co/vgce64P3fC No c… https://t.co/BWzuIfdgXq
14,@realDonaldTrump @SpeakerPelosi @MittRomney @CharlesGKoch @georgesoros @NBCNews @CBSNews @ABC @CNN @MSNBC @FoxNews… https://t.co/jRCzMu8EGg
15,"Why the Taliban Is Celebrating #Trump's #Peace Plan: Small Wars Journal https://t.co/sA0Brmsa1V

MORE w/ EcoSearch… https://t.co/S5nFpc0zLY"
16,#Trump will know first person has died by the time of press event? https://t.co/sQeQNx2zuh
17,The @nyknicks should begin tanking for Barron Trump in the 2025 NBA Draft. His father's competitiveness + Slovenian… https://t.co/1iE1OzzSg5
18,"@NewYorker This is insanely good. PARS PRO TOTO, #TRUMP."
19,".
Washington state woman becomes first American fatality of Fucking Moron #Trump's #coronavirus #hoax… https://t.co/RxXIqKMmpV"
20,"#Trump now also the #coronavirus denier. The hoax President , a man of shabby, rotten character. Uneducated, anti-s… https://t.co/gmz6LZoR8V"
21,Candidate #Trump's #Breakthrough ~ Here's how it Ends for the #CoupCabal... https://t.co/1io7sPZWxq via @YouTube
22,Yes #Europe #EU #US #Merkel #Trump #Macron #internationalcommunity. This is an academic and reveals exactly what th… https://t.co/VWf0nH4mOm
23,"That time when you tried to gaslight just about everyone...

#TrumpCrash
#TrumpVirus
#Trump
#TrumpLies https://t.co/mwupPiygzV"
24,"Expletives aside, #Trump asserting the ‘hoax’ narrative is troubling for 🇺🇸 

#WorldIsWondering how any leader can… https://t.co/2DXT7jd2P9"
25,#Godfather the 1972 film is an unlikely guide to the ways of todays #MenOfDestiny #Trump #Xijinping https://t.co/wwSikeVdsZ via @ahluss
26,Suggestion for all the #doctors and #epidemiologists that #Trump fired.  Come to #California and re-assemble your t… https://t.co/3MSffDmad5
