,text
0,#Coronavirus vs. #Constitution: What can government stop you from doing in a pandemic? https://t.co/Ss2AH8YR7f
1,@georgiecrozier @3AW693 💬What Rot! @DanielAndrewsMP had made it clear no spectators. The #GrandPrix organisers were… https://t.co/lWqy0IMps7
2,This blows I’m gonna have to start reading books soon...i fucking hate books #booksBlow #coronavirus #imDyslexic #cantread
3,"#Speechwriter or no speechwriter, the speaker alone is responsible for what comes out of his/her mouth.… https://t.co/L8EiBLOzUc"
4,This conoravirus needs to dig up some dirt on the Clintons so it can die off already #notimeforthis #coronavirus #ivealwayswashedmyhands
5,Trump and GOP mismanagement are killing Americans. Literally. #COVID19 #Coronavirus #OutOfControl https://t.co/4kLwE7i82f
6,You n*ggas are out here panic buying toilet paper for no reason!!! #coronavirus
7,#BREAKING: Justin Trudeau's wife has #coronavirus
8,Me when I hear everything is on #lockdown cuz of the damn #coronavirus 😷🦠😷🦠😷🦠😷🦠😷🦠😷🦠😷🦠😷🦠😷 https://t.co/tSwbSaRKic
9,"@HeyDrWilson 
@shar_NIQUE 
I love when Katie Porter is asking questions... 
That's how you get a commitment… https://t.co/5ykp17vFnd"
10,A 76-year-old man who died two days ago in Karnataka while being treated for suspected #coronavirus has become… https://t.co/0oFPiu87eM
11,Havent heard much from him lately...maybe he's coming down with #coronavirus
12,"Sophie Gregoire Trudeau has tested positive for #COVID19, the prime minister's office confirmed. #coronavirus… https://t.co/4E8mFsTN6O"
13,Send a @Bounty Hunter after the #coronavirus 🤪 #puns
14,What essential oils help with the #coronavirus?
15,"we love food shopping at BJ’s in new york and not being able to get milk, bread, bottled water, toilet paper, chick… https://t.co/rSoULRkHb2"
16,The Players Championship has been officially cancelled. I guess this was the real trophy of the week. #coronavirus… https://t.co/Lm9mvdjA0B
17,Organizers cancel #MerrieMonarch Festival over #coronavirus fears https://t.co/RAYXabN7jJ via @staradvertiser #CancelEverything #COVID19
18,"Before the #coronavirus takes us out, buy my #feet pics! 🥴"
19,#News1st #news #NewsPicks #CoronaVirusUpdate #CoronavirusPandemic #coronavirus #CoronaOutbreak… https://t.co/E3SOz0SiiB
20,"How to Stay Calm in the Face of Fear https://t.co/IPmNNBSSvx 
Please read and share this timely wisdom.… https://t.co/Y8GPpbL6Yl"
21,"This is the second morning in the last 7 days when Re has breached 75. 
Those who blame it on #Coronavirus solely m… https://t.co/Pv3FSSWsIb"
22,"Prime Minister Trudeau’s wife tests positive for #coronavirus 

https://t.co/HLffnoN5eq"
23,#Coronavirus update: Vietnam bans wildlife trade. https://t.co/4pCbpF2667 #Vegan
24,People stock up on toilet paper when they shit their pants. #itsnotaflu #coronavirus
25,"One of the best analogies of the #SocialDistancing they’ve asked from us.  On behalf of my aging parents, immune co… https://t.co/igdDes0CJ5"
26,🌟🌟🌟Get this the lefties are fund 💰💵💰raising off the #coronavirus! Lefties have NO scruples. Biden's trying to clean… https://t.co/56aYk6DAGI
27,Just talked to a fam member who works with the testing ppl for #coronavirus . He’s a research scientist. Lots of te… https://t.co/n76l8BkP9j
28,"@nataliejohnsonn Saw a dressed up rich guy and two rich housewives types in Walmart today, trying to figure out how… https://t.co/dsjCPe3qLd"
29,Wow wouldn’t it be convenient if we lived in a nation with multi-billionaires who could keep the entire nation aflo… https://t.co/aSl4OZC2ph
30,"As Japan's sports world continues to battle with the #coronavirus outbreak, experts are starting to question the li… https://t.co/o5wl2RKQTq"
31,"#Coronavirus New York's Tribeca Film Festival, scheduled for April 15 - 26, has been postponed indefinitely… https://t.co/4WO9sBIAyt"
32,"Disneyland Resort, Walt Disney World, Tokyo Disney Resort, Disneyland Paris, Hong Kong Disneyland, Shanghai Disney… https://t.co/uoO8ZzXUcH"
33,"The most responsible thing we could do is to educate ourselves on not only what it is, but we should understand how… https://t.co/FCFWbf7Ey9"
34,Alexa play say my name by destiny’s child #coronavirus #CoronavirusOutbreak
35,Why aren’t there any quarantine trucks going through neighborhoods spraying disinfectant spray or something. I mean… https://t.co/Q4MhOxw5zo
36,Growing number of doctors urge feds to take more aggressive measures to contain COVID-19 ⁦@gmbutts⁩ So much for the… https://t.co/TYMQ6up7rt
37,"@GOP @realDonaldTrump @Mike_Pence #IdiotInChief said #coronavirus was Dem hoax. Ignored all warning signs.
Do you r… https://t.co/KZ2qkF3WDB"
38,"#coronavirus street name is Boomer Remover, pass it on https://t.co/UjN4EitbGV"
39,No need to panic if you have strong immune system. Stay hygiene. #coronavirus #CoronavirusPandemic https://t.co/Jvvkg2eXfm
40,"@realDonaldTrump 🇺🇸 President @realDonaldTrump has no higher priority than the health, safety &amp; well-being of the A… https://t.co/UTgwFK5cRS"
41,"How to slow down #coronavirus

President Trump has banned most Europeans from traveling to the US. Vox’s Jen Kirby… https://t.co/T6ugQriZqV"
42,"🇺🇸Thank you Mr. President .🇺🇸
@realDonaldTrump
@DonaldJTrumpJr
@POTUS

#Trump2020Landslide 
#Trump… https://t.co/JojUsHY5lq"
43,What kind of asshole do you have to be to pull this shit? #Canada #coronavirus Hand sanitizer  https://t.co/ClgZo1GkXd
44,"While #coronavirus might not be fatal to me as someone who’s young and healthy, I fear that if I get sick it will s… https://t.co/A7MFlqBrjX"
45,"@karaswisher He has not been tested. If he had been, he'll brag about it: ""see, it's just like a flu and not everyo… https://t.co/BBOvXKETjN"
46,"ESPORTS, it's your time to shine!

#CoronavirusPandemic #CoronaOutbreak #coronavirus #CancelEverything #eSports"
47,Wife of Canadian PM @JustinTrudeau tests positive for #COVID19 #coronavirus https://t.co/hTj5YQx3SU
48,"Presidential special update on COVID-19 (Coronavirus) - from the President of the Evangelical Church of America.
Me… https://t.co/fhFOXS7cxl"
49,#Coronavirus: #China’s first confirmed Covid-19 case traced back to November 17 https://t.co/GjGbz2gQcq via @scmpnews
50,The #Coronavirus will hit #homeless folks harder because they have higher rates of all the chronic illnesses mentio… https://t.co/zZQ5UjYTD5
51,#Breaking: Canadian Prime Minister Justin Trudeau’s wife tested positive for Novel #Coronavirus
52,"@TheViewFromLL2 The only good Republicans are in history books. 
#TomCottonisGaslighting
#coronavirus is not Chines… https://t.co/gLo6M2eCgo"
53,"@RealJamesWoods I went to BJ's and you would swear a 10 mile wide meteor was ready to impact earth...

#WuhanVirus… https://t.co/sP1r9RMCig"
54,There is proof that Joe Biden is fundraising off of the #coronavirus!  Shameful and disgusting!
55,“We are providing free access to the most important news and useful guidance on the #coronavirus outbreak to help r… https://t.co/lqjN8beW6s
56,"I know prayers may not seem to mean much right now but it’s all I can offer. To Sophie, Justin and the children sta… https://t.co/h5fRwFcOGz"
57,The City of #SantaMaria is cancelling through March its public events and programs by the Recreation and Parks Depa… https://t.co/LdoKSRQIE0
58,"As Japan's sports world continues to battle with the #coronavirus outbreak, experts are starting to question the li… https://t.co/1NtkD79jr4"
59,"Things I just learned re: the #Coronavirus:

1. There is NOT a confirmed case of #COVID19 at ECMC per… https://t.co/Rd39xnVN1n"
60,"The iconic Santa Cruz Surfer Statue on West Cliff Drive is seen wearing a surgical mask on March 12, 2020 amid the… https://t.co/GvE4PluRkW"
61,"@TheKitchenista After assessing my own pantry, I am happy to report that all those episodes of Chopped are ‘bout to… https://t.co/GXxbSiwbPQ"
62,"#MarchSadness2020 #MarchMadness the #PerfectBracket finally. I won't miss a pick.
#Coronavirus https://t.co/oRCkHHYbQG"
63,Fear of #Covid_19 #coronavirus is spreading rapidly rather than disease itself. We again tried to debunk intensifyi… https://t.co/Mps5CGUdQa
64,@realDonaldTrump 🇺🇸 @TheDemocrats need to work w/ Pres @RealDonaldTrump to meet the financial impacts of… https://t.co/YrNdekv08U
65,"The #coronavirus has gone from constructive discussion to full-on mass hysteria! Yet, not one person has talked abo… https://t.co/hXSB1b8sUx"
66,"I was sent some unsourced information this morning about how to avoid #coronavirus Helpfully,  @AFPFactCheck had al… https://t.co/N8pbknkBZ9"
