,text
0,"@atrupar @AynRandPaulRyan Meanwhile, an American has now died of #coronavirus.  This person died in my state, Washi… https://t.co/seYtN0nnvI"
1,"#coronavirus kills person in Washington, first such death in US

#Trump2020 #DemocratsAreDestroyingAmerica 

https://t.co/SE5qFnFi9u"
2,What kind of moron calls a press conference at a specific time and then makes the audience wait? This is not realit… https://t.co/2KGAZNKP9s
3,Yes it will. Because the #coronavirus can't be bullied into behaving the way that tRump and the #GOP want it to. Th… https://t.co/ryhDFnN1Uq
4,"MITIGATION in the U.S. MUST HAPPEN NOW ! 🇺🇸

#COVID19 #COVID #Coronavirus #redflu"
5,@nntaleb I confirm that the #Italian #Healthcare System is public but also in these cases it is #functional and… https://t.co/7WGWJaNwxf
6,Three more #coronavirus reports in the UK. Here we go.
7,"President Trump #Coronavirus #Update #Live scheduled at 1:30pm ...over 10 minutes past

https://t.co/MrJYFWyFIj"
8,@GreenPeaches2 @SaveUSA1776 @realDonaldTrump @RonnyJackson4TX That wimp Jim @SaveUSA1776 blocked me because like… https://t.co/Y3IUotVefL
9,"Since we need all hands on deck to address the #ClimateCrisis—a #FederalJobsGaurantee is needed. 

Considering thre… https://t.co/sSPhlZj0YJ"
10,".@WHO will feel the pressure now!
#coronavirus #COVID19
https://t.co/Q9GXnR8JZy"
11,We're following this breaking development. Stay tuned. #coronavirus https://t.co/qCIKPitIFq
12,"The “latest Democratic hoax” just claimed a life in Washington.

Boy, some people will do *anything * to make Trump… https://t.co/tfEEiXvsVP"
13,"#Coronavirus near US border in Mexican side.

If it hits the factories north then...

KABOOM supply lines"
14,"Trump is a seriously sick individual.
#CoronaVirus #COVID19 #hoax

https://t.co/ljTa5jPjf1"
15,Taking steps to prevent the #coronavirus @ Darkside Records https://t.co/RNrUE2VtsY
16,#Kolkatans should in fact be thanking #coronavirus for reducing #Cancer risks. But I wonder why the government allo… https://t.co/bJNuBMDRrM
17,The number of people I know who have flat out said that they would not stay indoors if the government suggested it.… https://t.co/JNNZEtA69H
18,"It is vital to find appropriate sources of information. Some useful info and links below. 👇 
#coronavirus #COVID… https://t.co/WMTMTu6BRo"
19,I noticed this morning when #FoxNews accused the President of calling the #coronavirus a hoax they never bothered t… https://t.co/FPCnqa0ZWB
20,"I wonder why, what a mystery this is 🤔 #coronavirus #temporaryworkers #nosickpay https://t.co/Uc36YUBmVE"
21,#CoronaVirus I'm ready 4 ya https://t.co/ldbGTUGgwT
22,"@reganwasright @Vernata69676840 @MikeBir2020 @factal @seanmdav Yep.  And the majority were either elderly, develope… https://t.co/a60Z4hmKxI"
23,"#BREAKING 

Flag of United States: First U.S. #COVID19 fatality reported in the United States

-Patient died in Kin… https://t.co/JjMDwVNYSG"
24,@HalSparks Trump is holding another one of his #Coronavirus pressers at 1:30pm EST.
25,Looks like @RealJamesWoods &amp; his lib #Hollywood friends better head to Jeffrey Epstein's pedophile island to avoid… https://t.co/KBurZLnf5X
26,"@thehill Oh, really @larry_kudlow 

BREAKING: The U.S. reported its first death from the #coronavirus in Washington… https://t.co/hqq02l3gHF"
27,"#Coronavirus « We have so much suspect cases we can no longer to screen everybody », explains an emergency doctor f… https://t.co/MOzwDmMebb"
28,"New encouraging article in the world's #1 medical journal suggesting that #coronavirus mortality may be ""considerab… https://t.co/EzajfXmJ9f"
29,"@TheRickWilson Never was a hoax.

Unfortunately, @realDonaldTrump actually believes that during a global health cri… https://t.co/JR4CAw74mI"
