,text
0,"@aeryn_thrace The latest #Metoomovement.

https://t.co/UXnyPVHdBl https://t.co/YA2PLXviM8"
1,@miriamsved - involved in a wonderful discussion about the #Metoomovement with @LaTrioli yesterday. When asked if t… https://t.co/S9pqAhwJNs
2,@fawazar94 That show talks about #media and the #MeTooMovement in a very interesting way. Well-received
3,@raveninak @BridgetSterli19 She joined the #Metoomovement
4,"@JoJoFromJerz Did the flag give consent???? Then again, has that ever stopped him before??? #metoo #Metoomovement @Alyssa_Milano"
5,@Acyn Welcome American flag to #Metoomovement
6,@thexybeatht @srmgonzalez So much for the #Metoomovement
7,Keep fighting back #Metoomovement https://t.co/Dyk3eW3OCO
8,3 days and 6 hours until I can go back to my real account. #TwitterJail #Metoomovement https://t.co/2R3qlOBY2C
9,The pair of guilty verdicts this week against disgraced Hollywood movie magnate Harvey Weinstein was a victory for… https://t.co/udlfzi6fcF
10,@LEBassett I never cared for him.  What really turned me off was the story that came out during the early days of t… https://t.co/S1YvpC0IWy
11,@iheartmindy I think hits pathetic and mocks the #Metoomovement imo.
12,#Metoomovement is about violating a person NOT condemning age appropriate consent...and  they hooked up at the END… https://t.co/3WUiTZF8sT
13,#BREAKINGNEWS: Lisa Allpress makes history as first female jockey to win in Saudi Arabia #women #metoo… https://t.co/KU1NeEW3nu
14,@GdnUSopinion @GuardianUS @MoiraDonegan a thirst to keep a #Metoomovement alive while sullying the memory of a man… https://t.co/8cwBhu12q1
15,Too true! Sir Philip Rutnam is clearly a racist and misogynist! Priti Patel has the moral high ground not playing t… https://t.co/107q4IrgIl
16,#Metoomovement  guess me too doesnt mean anything to democrats if an illegal alien was involved https://t.co/KtrV0ASRrk
17,"@AlexCKaufman This is a direct attack on women!

Inciting Violence...and it is not criminal... off course..
Do you… https://t.co/crGrUdNgTr"
18,"@fixed_air @ScottAdamsSays @CBSSports Scott""s sports plan would be killed by #Metoomovement.  Male athletes trash-t… https://t.co/eR4gVSprLl"
19,"I connect with so much of this piece: ""As you grow older you become an immigrant from a vanished country. You could… https://t.co/PNmZlU8qqz"
20,"@LEBassett @grild_cheez Thank you for being brave enough to out him. And anyone I see blaming you, I will block as… https://t.co/0Yz8Obq1c3"
21,"Womanhood The #Metoomovement and RKelly https://t.co/wlvk20tA9F By, @TessaMakesLove Great read. #oftheday https://t.co/i0eo6BInRW"
22,We still have a long way to go with the #Metoomovement especially w/workplace. I had bosses who asked for blowjobs… https://t.co/AyelK6yGni
23,#Metoomovement is trash
24,"wrote ""That rape joke wasn’t funny — ever ~ When Twitter teaches you all the people you need to block""… https://t.co/9fDRLowGzv"
25,@cdelvallejr And cries sex discrimination when they make moves on a man thanks to the #Metoomovement
26,"....And acutely followed by this article that also asks those very pertinent questions about ""powerful men with cul… https://t.co/F7PFqC8RSA"
27,"Here in the USA, Harvey Weinstein was convicted. In France, Roman Polanski (who raped a 13 year old girl, then fled… https://t.co/92L7uATHNS"
28,"@HawaAwah This song  sexually objectifies  women.
Imagine the outrage of Trump done this.
#Metoomovement"
29,"@HuffPostPol @HardballChris you claim to support #Metoomovement 
Why do you abuse women?

@nbc 
@MSNBC 
@rosemcgowan"
30,An industry that allows a guilty child molester to make films and win awards has learned nothing and wants to learn… https://t.co/EBDIJtwOGJ
31,@LEBassett This is one #Metoomovement I can get behind!
32,"""Teach children good touch/bad touch, and body ownership!"" #PMInc #ASMSG #MeToo 
https://t.co/UZ809MVCHu #IARTG… https://t.co/zY9Jo53kq0"
33,"@dbongino The New Rules, new #Metoomovement"
34,4) The Actor who plays Mulan (a fictional warrior who protects china) is supportive to honk kong police brutality .… https://t.co/AYjGxmk9Dl
35,The #Metoomovement is basically weaponised feminism and it's fucking stupid.
36,The man should never have been awarded-Roman Polanski: Actress walkout as he wins best director at 'French Oscars'… https://t.co/5UH5Si4Mdl
37,"""Every great cause begins as a movement, becomes a business, and eventually degenerates into a racket.""-Eric Hoffer

#Metoomovement"
38,Yes exactly like a male teacher. #Metoomovement works for both sexes. https://t.co/W6mOU7hs49
39,"@WhosAndreDGiant @KarlEspo Oh, #Metoomovement but I’d rather cut them off.  Castrate him like the feral animal he is."
40,"#BeforeWeHaveSexWeShould get a legal document stating we are going to have consensual sex. 

#Metoomovement https://t.co/NoDKmHXiSx"
41,@Joe_Hildebrand By Consent #Metoomovement
42,@CuckJoseph @spectatorindex We need a #Metoomovement against the corona virus
43,"After Epstein: Survivors in their own words

'Truth and Lies: Jeffrey Epstein' podcast, two-hour ABC News special o… https://t.co/I6cqmEGySq"
44,"@JaniceIche What's really heartbreaking here is the very functions (legal and activist) didn't do nothing, and are… https://t.co/Q0eEPurFRb"
45,@StephenKing Hard to believe you told Corey Feldman to calm down after he posted about some of his truth being was… https://t.co/AP764uXn3P
46,#ChrisMatthews the @BernieSanders supporters coming out and claiming they had #Metoomovement. Always ironic timing. #fake
47,"This is what happens, when a well-meaning movement like the #metoomovement  turns into a political correctness witc… https://t.co/qOdC8314I6"
48,https://t.co/WM4CEL9j2l i thought HARVEY WEINSTEIN was a sex addict yet EMMA THOMPSON shed some light totally agree… https://t.co/Z11YznvQBF
49,"After many years of denial, I have today realized I was the victim of sexual coercion which is a form of sexual har… https://t.co/8ikUmDP1Cg"
50,@romanpolanski you really don't deserve this highlight on you again... #Cesar #Cesar2020 #wtfu #why #AdeleHaenel… https://t.co/i3TgphvpyT
51,@antonintscalia Where’s the #Metoomovement on this?
52,#MeTooMovement just lost ALL your movie sales. Movie about to be on Disney+ a week after release. https://t.co/kmSSNUgRaA
53,On the #Metoomovement 'I haven't had the experiences that some people have. All someone like me can do - you have t… https://t.co/bcqgVxjNUe
54,@FirstThemNEWS @GeorgeJ35687793 @DeeTubman @CarmelReal_77 @Cer_Ether @Timsomor @Osric39647752 @indigenoussista… https://t.co/PWNF4O346g
55,"These women will change the world. Shame on the Cesar’s, they’ll be on the wrong side of history. Adele and Céline… https://t.co/8ou5nWxPvQ"
56,"she belong to the streets #MeTooMovement #SoloCupStories #KingActivity @ Woodbridge, New Jersey https://t.co/YKmuGjzmsl"
57,"@LauraLynnTT Charges should be laid, does not one think?  @RCMP @police #Metoomovement"
58,Where’s the #Metoomovement ?? Sick M F! https://t.co/vq9KiSgdGn
59,Disgraced political pundit MARK HALPERIN says men like him have been cancelled by the #MeTooMovement &amp; are treated… https://t.co/NvQBLFZ0eb
60,"Let the countdown begin! #whywerecord #webelieveyou
#traumasurvivor #believeallpeople #believers #believesurvivors… https://t.co/7QBdMWynMW"
61,"@leftcoastpa moderating the #CCSS20 keynote panel w/ Elizabeth Rindskopt Parker, Darlene P. Robles, and Renee Tajim… https://t.co/ds5egKM9r4"
62,Hey #metoomovement why don’t we focus on the real issue here and not hiding behind or blaming movies and tv... Kevi… https://t.co/o2t1TAIpxP
63,"“Harvey #Weinstein operated with impunity and without remorse for decades in #Hollywood. Yet, it still took years,… https://t.co/JYC3RgfhmT"
64,Im not gonna let them determine what type of day Im having. #MeTooMovement
65,I am so tired of the constant images in my mind about rapists who arent here anymore.. 😕 #MeTooMovement
66,"@getFANDOM @Collider How was he a problem for the #Metoomovement? He didn’t rape or sexually harassed her, he treat… https://t.co/8Pc1J3zXRo"
67,"Masculinity, Mixed-Signals, and the Male Retreat From Women https://t.co/zNFpWWVqVI #MeTooMovement #Men #Intellectual #Takeout"
68,The #Metoomovement  is lauding it up in HollyWood amongst the luvvies but biggest assault on female rights is happe… https://t.co/zITlur09AQ
69,https://t.co/a1lQa5d7vV My latest #harveyweinstein video: #epstein #clinton #alexjones #infowars #davidicke… https://t.co/jWu237AMto
70,"""Teach children good touch/bad touch, and body ownership!"" #PMInc #ASMSG #MeToo 
https://t.co/UZ809MVCHu #IARTG… https://t.co/QBCZJYHknD"
71,@AHMalcolm This has the potential to reverse all the progress of the #Metoomovement though I will grant it's had it's foibles as well.
72,@careywfindley got suspended on Twitter because he was being a dick #MeToo #Metoomovement
73,@AOC your UK sis! We need more like you ladies in power! #TimesUp #Metoomovement We should all become like #Finland… https://t.co/6hVT3PXSSC
74,True beauty in a woman is reflected in her soul. - Audrey Hepburn #MeToo #Metoomovement
75,@Vasan_Bala @FilmCompanion Public memory is indeed short. The man was accused of ill treating his wife. Don't recal… https://t.co/Wr9INYPPuU
76,https://t.co/SmEdivXWMU #metoo #metoomovement DONE RIGHT (not a witch hunt) searching for the TRUTH to cease the de… https://t.co/zvHkO3rZIE
77,"https://t.co/SmEdivXWMU Donna Rotunno knows her market, she is accustom to her lifestyle just being REAL. to even s… https://t.co/qYb091BQDr"
78,when it just hit you your gym teacher called you “papa” earlier today and now you feel uncomfortable and violated 😔… https://t.co/BTSipew0wO
79,"According to https://t.co/w31X7i0QkD, Harvey Weinstein was hospitalized on Monday night due to chest pains shortly… https://t.co/L41tQr5lf8"
80,"Well Meryl, Bette, Whoopi , Michael Obama? Oprah too! Endless list! The #Metoomovement should be protesting all the… https://t.co/EmBdoukRwq"
81,The #MeTooMovement killed Li Shang. https://t.co/VgQzmFhzaB
82,@euflorium @HashtagRoundup @AcidicCherryTgz @CanadaMoments @TwitterMoments @joshkeaton @mentalgirlbooks… https://t.co/bjLWmCkeJA
83,Why is it that every woman I talk to has their own sexual assault/harassment story? #freewomen #consent #nomeansno #Metoomovement
84,"The word ""power"" appears nearly a dozen times (either standalone or as part of ""powerful"") in @ManohlaDargis's asse… https://t.co/X9HZKSCvvl"
85,@SimangalisoDub5 @ZimEye @iMisred @zuvahabane @twimboz @allafrica @Zimtweets @WCOZIMBABWE @womensvoicezw… https://t.co/zNinOhBiAh
86,This News caster is absolutely disgusted.  #Metoo #Metoomovement https://t.co/qNNOtDdqBk
87,"Why did you go to the beach with him?
Why did you get in the car with him? (He was my B.F at the time).… https://t.co/tjwKL9sXzU"
88,Harvey lawyer says #WeinsteinGuilty is 'unbelievably energized' to 'fight for justice'... so then why is he still i… https://t.co/FxGiXyciH4
89,@rebeccabutlerm2 @nazirafzal @MaggieOliverUK @allisonpearson @piersmorgan Yes where is #MeToomovement
90,"@ProfLizYardley Sickens me that people enable these predators by not speaking out, but even worse, when you attempt… https://t.co/JFMgjsFmMM"
91,Something people do not want to address #justiceforjohnnydepp #LoveIsBlind #menmatter #Metoomovement #feminists… https://t.co/4PD7hgssnN
92,"#Metoomovement is healthy for america, because clearly there is a bias in our halls of power toward men who use sti… https://t.co/gR72qdOzkX"
93,Any celtic supporter should take a long hard look at their club.  No child should ever have to go through what thos… https://t.co/4VXDhSYbL5
94,"cw: sexual abuse
.
.
.
in the era of the #metoomovement when will @DanWarp &amp; his friends in the media business be e… https://t.co/hoNBUW93et"
95,#NRA top official accused of #sexual #harassment . More issues at NRA. #guns #GunControlNow #harassmentisreal… https://t.co/3ET9Y9rHcr
96,DEVELOPING: Former U of M student athletes inspired by #Metoomovement speak on alleged sexual abuse by deceased uni… https://t.co/R5wOnm3D9P
97,"@DannyDeraney @JIntersimone @MyCentralJersey Yeah, no on this, he was one of my favorites, but hell no #MeToo #Metoomovement"
98,"@JrzyJoePiscopo @XENSAMS @frankmorano @am970TheAnswer @JoePiscopoShow   
💋we’re talking the release of
#TheBanker… https://t.co/0sNnN2bBDQ"
99,@1984_peirce #Metoomovement + we need to  address this disgraceful appropriation of #CSE for fascism. Stuff is in t… https://t.co/05rqnUJCGj
100,@_dangerousblues Is it ok for us guys to rock a #Metoomovement on this? or will women not take us seriously when we… https://t.co/5BJYDMUk6X
101,@anna_938 @rexglacer @JustinTrudeau Old Tom mulclair looked ready to throwdown with the woman beater Trudeau.  Wish… https://t.co/WnwkmzU8UK
102,@Xleb_svirsky @Savethe06195522 @UfcFightFan4 @avogel5491 @Queen_kimo_ @ac8736 @gizbolt @mynotetome @AbeTrump… https://t.co/4EifoigKKN
103,Did any of you catch Rosanna Arquette last night on the last word? She looked Mahhvelous!!!! I'm so grateful for he… https://t.co/vMF7QWrVpM
104,"@HillaryClinton hates the #Metoomovement she’s a phony, evil person. Only cares about her political self! https://t.co/8RM7MG5T0N"
105,@MMFlint   Great photo of #michaelmoore  kssing ass of a sex offender and serial rapist.  We're not buying that you… https://t.co/mNhmYSa3XE
106,"Octagon Blog: #BREAKING @AP ""Confrontation @rachaelostovich vs #Metoomovement @jimassoun1 soon""! @ufc @MmaAthletes https://t.co/IpstIbE4j9"
107,Where's the outrage about these friendships? #HarveyWeinstein #MichaelMoore @THR @FoxNews @HillaryClinton… https://t.co/jwsNOjKJ5k
108,@oprah and @GayleKing your white master Harvey Weinstein is the real monster. All mouth are sealed now right?!… https://t.co/xIMjFCPaZu
109,@rosemcgowan I had a thought seeing you on a news report today. Use your beautiful voice &amp; and others to record a c… https://t.co/iYlgXbMQsT
110,@callytaylor @The_CWA In this day and age that is highly offensive #Metoomovement
111,#Metoomovement LMFAO https://t.co/TKKWTllY7e
112,Don’t #JustBeALady #BeAWoman as they say #CynthiaNixon @CynthiaNixon #MeToo #MeTooMovement #WomensRights https://t.co/UWyBF2nnoQ
113,@EWagmeister @AP Justice at last @jodikantor @mega2e  Hopefully this will oust other abusers. The party is over Har… https://t.co/JiGTBscxBM
114,@CourtTV @TedCourtTV Can we consider the students abused by the Doctor coming out after 20 years a reflection of th… https://t.co/DzaFFvYADP
115,"@MissDeeMe12 @michelle_martha Good for you
If you don’t like something always speak up for your self 
You have that… https://t.co/lPg2qV8TLf"
116,@TheRickWilson I’m glad to see fashion has moved on from the #Metoomovement and now is focused on the male market. 🥜
117,@DripSuperior @joshhart This is a #Metoomovement.  You can speak out Josh.
118,"hey where's my friggin chair man?
#culture #ThirstyThursday #FolkloreThursday #humanism #HelloHabinIsFree #arts… https://t.co/YiKGfz4pwu"
119,⁦@HillaryClinton took his money. ⁩ ⁦@BarackObama⁩ gave him a medal of honor. #LeftUnhinged #rape #Metoomovement… https://t.co/URormOneYP
120,Hillary Clinton took more cash from Harvey Weinstein than any other Democrat. Big surprise. ⁦@HillaryClinton⁩… https://t.co/FUDHwcNxZs
121,"This is disgraceful. How are these the 'good old days?'
And in the week #HarveyWeinstein Weinstein was imprisoned.… https://t.co/3OvuO47HXQ"
122,"What does #HarveyWeinstein's verdict mean for the #MeTooMovement? 🤔 

[via @nytimes] 
https://t.co/bEc270Ym2Y"
123,"@HillaryClinton #HillaryClinton
#HarveyWeinstein 
#hillaryemails 
#Metoomovement #MeToo 
Hillary Clinton took more… https://t.co/dovvSBphJB"
124,"Omg 😱 Love the Cameos in taylorswift #theman music video!
.
.
.
#theman #taylorswift #ts7 #taylor #swift #swiftie… https://t.co/80cgcbn0DW"
125,@Nike @MariaSharapova #Metoomovement  Breaking down barrier's of the Liars/Cheaters especially Russians !
126,"@Alyssa_Milano #1.Your are either are gonna run for some kind of ""office"" one day...
#2 You are a paid troll
#3 you… https://t.co/Xvaw6BLgNR"
127,"""Teach children good touch/bad touch, and body ownership!"" #PMInc #ASMSG #MeToo 
https://t.co/UZ809MVCHu #IARTG… https://t.co/bYaX3voU1p"
128,A brave stance of my diva #SabaQamar on the #Metoomovement love her clear cut stance n it's a shut up call for all… https://t.co/MYyPhZc7ni
129,@TheEllenShow The dog better watch himself..#Metoomovement
130,"#DNS
#Topic: #METOO MOVEMENT: AN ERA OF CHANGE
Click here:
https://t.co/N0ruVq2VrW

#DhyeyaIAS #IAS #UPSC… https://t.co/m2tw3dBpDY"
131,#HarveyWeinstein's verdict will embolden women victims to arraign sexual predators even after long delays. #MeToo… https://t.co/A5YzN8WH0p
132,"STILL in denial. 

Plibersek &amp; Wong are velcroed to Shorten.

Kenneally super glued to him.

There's NO accounting… https://t.co/AezoNENgsv"
133,"#MeToo 
#MeTooVoter 
#MeTooSTEM 
#Metoomovement 
Are you ""woke"" yet? 
#Trump2020NowMoreThanEver https://t.co/pN2Xg3poi1"
134,#Metoomovement help @tahaliif_05 harass me
135,This is a new day indeed! #Metoomovement https://t.co/S4zOeoCgKC
136,Former film producer Harvey Weinstein has been found guilty of two counts of sexual assault. The start of the… https://t.co/IOEwfzcRcs
137,Isn’t this a big accomplishment for the #Metoomovement? Why ⁦@GayleKing⁩ ⁦@Oprah⁩ ⁦@TheEllenShow⁩ aren’t give prais… https://t.co/ZY63TMjYD9
138,A woman yelled at me because I told her she had a great Ash!   #AshWednesday #Metoomovement
139,"@MilaJonesOK @knitting_n @StormIsUponUs Hey!  @knitting_n 👇
@MilaJonesOK Doesn’t believe Harvey Weinstein raped wom… https://t.co/xT7B0Thspw"
140,@HKrassenstein I think all social movement need to vote NO MORE to Trump from #CoronavirusOutbreak #Metoomovement to environmental movement
141,@KTLAMorningNews Sex Sells &amp; Money Talks!!!!  #Metoomovement https://t.co/P4rOS0XNcv
142,@nweisenseeegan latimes #chasingcosbypodcast #silencebreakers #metoomovement #metoo https://t.co/HdzsBTN9VR
143,#Silencebreakers coming together for latimes #chasingcosbypodcast @skirball_la #metoomovement #metoo https://t.co/6RNVJahgM6
144,"The #Metoomovement was in full force and #HarveyWeinstein is praised by elitist #Hollywood.

@realDonaldTrump had n… https://t.co/uXhI5cbywM"
145,Weinstein’s conviction ushers in new era of justice https://t.co/NuQ6bRNLxM via @CBCTheNational ht @CarttCa 🎥🎞️⚖️… https://t.co/PQYHnweubF
146,#MeTooMovement #SexualHarassment Weinstein Is Convicted. Where Does #MeToo Go From Here? https://t.co/InPsNRvcVj… https://t.co/nvb2uiWryu
147,"@WestBelfastUPRG @mairiac31 We could stand with u Michelle
We may 1 day vote SF
But how can any woman North or Sout… https://t.co/o8pnMx3r2X"
148,"#Metoomovement #ronanfarrow

https://t.co/UR7GlpuB8h

Bill Clinton’s closest former administration officials have r… https://t.co/DdZKJ0rYs5"
149,@HillaryClinton @GretaThunberg @Malala Unless the gutsy women are part of #Metoomovement who came out against your… https://t.co/8fHVx8JSTB
150,"Fuck you, @realamberheard !

#MeToo #Metoomovement #AmberHeard #AmberHeardIsALiar #AmberHeardAbusedJohnnyDepp… https://t.co/JSdRpi0gzy"
151,So yea Jennifer Aniston is pretty brilliant in #TheMorningShow. Thoroughly rousing show! #MeTooMovement
152,"Remember, if you need us, we're here! #MeToo #Denver #5280 #MeTooMovement https://t.co/DWDhE6Katt"
153,Is @HarveyWeinstein still in the hospital trying to evade RUCKERS ISLAND boy stop cause you going no doubt about it… https://t.co/QgpRCfZpJd
154,@GabeIsFat92 @zeileornozeile @77Cheyo77 @Reuters Right. This is the problem with the #Metoomovement - anyone with a… https://t.co/nayFQL24cq
155,@EmmaRos86455014 Yeah we have been stuck for so long movement is long over due. #Metoomovement
156,ME TOO MOVEMENT AND MY STORY OF MY EXPERIENCE https://t.co/K5gTAC63Kt via @YouTube make sure if you see this to sha… https://t.co/7uMUt4BJOu
