,text
0,"Thank you to @RepCicilline and @RepSpanberger for fighting for what is right. 
#Iran
#Soleimani https://t.co/pqguMVsxsq"
1,Nation Of #Islam Leader #LouisFarrakhan: ‘Mr. #Trump Killed My Brother #Soleimani  America ‘The Habitation Of Devil… https://t.co/WPVPUyhE9Z
2,@JOKER_237 @AdairBlackmore @rich_goldberg @jonathanvswan @realDonaldTrump @SecPompeo Get out troll #Soleimani
3,@TulsiGabbard @realDonaldTrump Trump has no plans to take out Erdogan? Interesting...🤔 #soleimani
4,"Wow. The Democrats are seriously comparing Benghazi to Soleimani. Really?

@RepLeeZeldin #cpac #cpac2020 #benghazi… https://t.co/HvnNLRHyhE"
5,"Why Iranians Say Death to America.
After watching this video, give Iranians the right to hate America.
#iran… https://t.co/veatpnrygZ"
6,"@SecPompeo #Turkey thought it could occupy Idlib after Commander #Soleimani.
But he has forgotten that #Islam does not depend on one person."
7,"If #Trump listened to me re: #Soleimani, why not you @RTErdogan ??

You can do it to! ✔️

#TSK #Turkey #Erdogan… https://t.co/QN3Y02gQhU"
8,"In reference to #Afghanistan, Trump doesn't start endless wars like every other politician in history. He ends them… https://t.co/a13bwnJj74"
9,"Would be wise to start an informal #Israel #Turkey alliance to smash #Assad, incl. #Hezbollah #Iran and #Soleimani… https://t.co/W2F5VGPWSc"
10,"#IranProtests2020 
#Soleimani was a mass murderer
@AlexanderSNeu
@HeikeHaensel
@ZaklinNastic
@voglerk
@Diether_Dehm… https://t.co/wa1YtgYeS8"
11,"How will #Iran’s Quds Force change in the post-#Soleimani era?

ANALYSIS: https://t.co/un7hYOLu2X"
12,@Raihan52750994 @RiteItIs @AB_BJP @ssingapuri @_sabanaqvi @CPDelhi @DelhiPolice @HMOIndia @sambitswaraj… https://t.co/8j2xa3ykqp
13,When asked what the precise number of casualties at #ainalassad were instead of responding with the current declass… https://t.co/tex5BSbsKV
14,"@CarlZha because iran armed talib with antiair in return4 #Soleimani 

USAF Bombardier E-11A was carrying Michael D… https://t.co/o2l5sbxbyU"
15,How far does #Iran's influence extend across the region? Learn more about the networks #Soleimani cultivated and Te… https://t.co/fFdkIoDWRd
16,"#Afghans (#Taliban)need to look ""Deep into their soul""@SecPompeo 
""Look who is talking!""Someone who just killed… https://t.co/eTfk6YG0P8"
17,@AatishTaseer @postcolonialist @IndiainNewYork Ask ammi @tavleen_singh what genocide #1984SikhGenocide lol @POTUS k… https://t.co/11jYrPfZDa
18,"THANK YOU @RepRonWright for supporting our President!

I watched you Fri. morning on C-Span2 ...your interaction wi… https://t.co/okxd8tasKq"
19,@PeteHegseth did the killing of Bahgdadi and #Soleimani help bring the Taliban leader to the table? @foxandfriends #FoxandFriends
20,"World changed after martyrdom of General #Soleimani
#IranWar #QudsForce https://t.co/0jVBwB3dlR"
21,"Yesterday @ House foreign committee session,Congressmen openly discussed that killing #Soleimani now empowered his… https://t.co/IJh9nIlaRH"
22,"The hearing sesion of @SecPompeo
In regard the assassination of Gen. #Soleimani

The first row was reserved for the… https://t.co/jSCXB1EbXr"
23,"Congresswoman: ""As a former CIA case officer there was no evidence to take out #Soleimani""

#DeepState well and tru… https://t.co/b5WeKxxBhG"
24,The Colombian analyst Carlos Santa Maria said in an interview that Not only #Iran but also the world has undergone… https://t.co/a6nUTk8GTx
25,Jesse Ventura enraged by ‘illegal killing’ of #Soleimani https://t.co/QYhuP49yOK
26,Why Was #Soleimani Assassinated  https://t.co/s0AftUgGaS
27,International Law and #Soleimani https://t.co/sn94JmeuSA
28,@NilaBehzadi @AlexanderSNeu @HeikeHaensel @ZaklinNastic @voglerk @Diether_Dehm @AndrejHunko @Andi_Wagner… https://t.co/RDGU47dEUs
29,@digvijaya_28 @INCIndia proxy @BhimArmyChief #bharatbandh in wake of #trumpinindia mourns #soleimani to oppose… https://t.co/QyJRs3Nv3i
30,@jgopikrishnan70 @INCIndia proxy @BhimArmyChief #bharatbandh in wake of #trumpinindia no riot on 23rd but @POTUS in… https://t.co/vZxIHS3bYP
31,#ISIS hails #CoronavirusOutbreak in #Iran! Iranian forces commanded by #Soleimani played a key role in defeating IS… https://t.co/Vl8SN0ivtM
32,"@SecPompeo ""we lied, we cheated, we stole, steal...""
Even to American people!😅

#PompeoResign #Pompeo #Soleimani https://t.co/GFWvvwfqVj"
33,@MrWag001 @atrupar @realDonaldTrump Haha and #WW3 is coming because of #Soleimani and #WW3 is coming because of… https://t.co/OodsfuRPDE
34,"How India and US Have Both Used Airstrikes For De-escalation 

#Balakotairstrikes #USAirStrike #Soleimani #Pakistan… https://t.co/31Wmfs8R36"
35,"Watch | US Secretary of State @SecPompeo defends Qasem #Soleimani's assassination

Pompeo testifies on use of force… https://t.co/01kG2dTjmV"
36,"Just the Mullahs in Iran. Which, @TheDemocrats supported over America when #Soleimani was taken out. https://t.co/nH1FAH164v"
37,#Farrakhan: #Trump #killed my 'brother #Soleimani' https://t.co/jhqSCYIArx
38,"I love @TuckerCarlson but I'm not inclined to his level of panic. After all, he predicted Armageddon after we vapor… https://t.co/xhR6AILYkV"
39,The sonofabitch is dead! #Soleimani
40,Left Party MPs press criminal charges against #Merkel over #Soleimani’s killing (Op-ed) https://t.co/RsS2qnlG0R
41,"#Erdogan, you will die like a wild dog! Before it was Gen #Soleimani who stopped #Russia and #Hezbollah not to war… https://t.co/516zpfZ5vV"
42,"#Soleimani’s killing worked to #Iran’s advantage
https://t.co/bAWRLqO6z6"
43,"Regime militants killed by Turkish strikes.

This is the hard revenge, not killing 200 of your own people &amp; no harm… https://t.co/bRiS9itq4b"
44,"""#China is expanding as a global economic empire, and how it tackles the post-#Soleimani scenario in Iran and South… https://t.co/MbaRrjjCVZ"
45,"Are the Taliban not ""bad guys"" just like #Soleimani ? Why not just take them out instead? They're bad guys, right?… https://t.co/ntoGhJSFMO"
46,@catturd2 How are Americans supposed to concentrate on #CoronaVirusUpdates after the media said we'd in the middle… https://t.co/XwHLQfUsFc
47,"@RepBrianMast G-d Bless @RepBrianMast, YOU continue to OUTGUN, OUTMANEUVER, OUTCLASS &amp; just plain ‘OUT’ THE DEMOCRA… https://t.co/vu1CcDmkqp"
48,"&lt;&lt;""Putting the Lie to an Iranian Fable,"" Shimon Shapira's new article, published in @aminterest. Before Qasem… https://t.co/fG3hHgnCFx"
49,Iranians support the elimination of terror master #Soleimani. #IranProtests2020 @SecPompeo @RepMcCaul https://t.co/pg0kz6vNxv
50,"The further escalation unfolds between Turkey and Russia in Syria, the more it gets clear why the US assassinated t… https://t.co/lY7iGPgPoF"
51,"Mike Pompeo pressed by U.S. lawmakers on coronavirus response, killing of Iran’s Soleimani
https://t.co/bgY8rPxfIb… https://t.co/gvZjrmIAD4"
52,ICYMI: #Iran has been recalibrating its strategy with militias in #Iraq since the killing of Qassem #Soleimani and… https://t.co/4GGdVlGXn0
53,@camanpour You still mad over #Soleimani huh? https://t.co/UzeXwqbkGI
54,Left Party MPs press criminal charges against #Merkel over #Soleimani’s killing (Op-ed) https://t.co/2jenyLs3Fp
55,"#Pompeo to face House panel on #US killing of #Iran’s #Soleimani.
Read more.
https://t.co/NQ9sxnhcB5
@SecPompeo… https://t.co/j6onGHMns2"
56,"Hence, Bewigged: "" A bad hair life ""
#TrumpVirus 
#Trump 
#Soleimani 
#Ebola https://t.co/eIsYzXF5hJ"
57,"LR @RepMcCaul: ""Do you believe that #Soleimani was planning to kill more Americans?"" 

@SecPompeo: ""One hundred per… https://t.co/nLllHu2n9S"
58,"You can't hide behind classification this time, 
Because you can't classify something that doesn't exist

The lie f… https://t.co/qZMzClAfQn"
59,"Coronavirus and Iran are the main issues facing Pompeo.

#28thFeb #EEUU #TOPNEWS #WashigtonToday #MikePompeo #Iran… https://t.co/Jp9huBc3Uc"
60,"Iranaian Americans at 
@HouseForeign
 hearing support #iranprotests2020 and elimination of terrorist #Soleimani b/c… https://t.co/f2IaUGPAgs"
61,The time that @realDonaldTrump will be quarantined together with Mick Mulvaney is when Some people will learn Coron… https://t.co/NRyjrjkZQM
62,"In 2009, KH became the first pro-#Iran Shiite militia in Iraq to be placed on the State Department's FTO list. Give… https://t.co/hhPzWV1Q9U"
63,"LR @RepMcCaul: ""If @realDonaldTrump had not made the bold decision to strike Qassem #Soleimani, Iran’s mastermind o… https://t.co/ozfBtP0e9t"
64,"What a year, just two months have passed and #Iran is still top news, after #Soleimani and the missile attacks now… https://t.co/GAY4Yj9X4a"
65,@RepKinzinger it doesn’t work when you (with disrespect &amp; sarcasm) sneer that your colleagues didn’t know who… https://t.co/OVWjvKDwfn
66,@March_for_Life @SenAmyKlobuchar Ask #FarahPahlavi exiled Empress in #France prior to #Soleimani ☠️⚰️ follower of… https://t.co/MpvRmQWyVC
67,"#Benghazi will NOT go away until we see JUSTICE.
#Democrats would not defend the Americans who were killed.… https://t.co/Cw876Hvvxy"
68,U.S. Democrats' Defense Of Slain #IRGC #Qods Force Commander Qassem #Soleimani Has Crossed The Line: https://t.co/JX27o9Cd4w
69,"Iranian Americans at @HouseForeign  hearing, and their families in Iran R more safe by the elimination of terrorist… https://t.co/kBoXXsYPF3"
70,"@RepEspaillat @cspan @HouseForeign WOW! 

The killing of 600+ American soldiers and the devastating injuries with l… https://t.co/fLTfyRSI4D"
71,"Cheap shots by Rep. Brian Mast at Democrats during the interview of SOS Pompeo. Let me ask you Mast, when’d you sto… https://t.co/F1G6hoe1Vg"
72,"@HouseForeign @SecPompeo WOW! 

The killing of 600+ American soldiers and the devastating injuries with loss of lim… https://t.co/TXBheffE3V"
73,".@afixler in @CTCWP:
Will Iran Retaliate for #Soleimani’s Death with Cyberattacks?

The U.S. government, private se… https://t.co/GBF1LBDVsx"
74,Iranaian Americans at @HouseForeign hearing support #iranprotests2020 and elimination of terrorist #Soleimani b/c w… https://t.co/jvFwQqH5iR
75,"Quick recap of 2020 so far:
* US assassinates #Soleimani 
* #WorldWarIII narrowly avoided
* #coronavirus outbreak
*… https://t.co/kEDzagwOEA"
76,"Iranaian Americans at @HouseForeign hearing, in support of #iranprotests2020 and elimination of terrorist… https://t.co/UcWYDHjd62"
77,Back &amp; forth btwn @davidcicilline &amp; @RepBrianMast in @HouseForeign now - Mast asking Democratic colleagues if they… https://t.co/QZTLt4aQW4
78,"February 28, 2020 [now]
US Secretary of State #Pompeo testifies before the House Foreign Affairs Committee at a… https://t.co/1qiJKgjQgW"
