,text
0,"WATCH: #Trump Epically Trolls @SpeakerPelosi at #USMCA Signing Ceremony

https://t.co/N2mRL4SUI5"
1,That worked as well as any of #trump's policies. https://t.co/EfPq6vZOi6
2,#Trump's Foreign Policy is Cynical and Self-interested. His 'peace plan' is No Exception | Michael H Fuchs… https://t.co/XsVPyir0LY
3,"American politics be like: #Trump #ShamTrial #SenateImpeachmentTrial
https://t.co/tR9oHfT4iL"
4,"Yes we must make sure all racist and bigots are not re-elected in 2020 and beyond . Register to vote , then let’s p… https://t.co/hx9NBh7OgU"
5,#EnemyWithin AND people don't care #Trump #KAG  #WomenForTrump https://t.co/CWjK41vSQK
6,"SAA Repel a Nusra Front Terrorist Attack Southwest of Aleppo:

https://t.co/reXMCMrrbY 
#Syria #News #Aleppo #Idlib… https://t.co/7Bt24d0CKl"
7,HEY @BernieSanders  HOWS IT FEEL TO BE FUCKED OVER AGAIN BY @DNC  @HillaryClinton THEY WILL DO TO YOU WHAT THEY DID… https://t.co/pcXBnZViRa
8,"@DebbieStrauser @therealmirman Nah, we have #Bernie and #BernieBros on record having elected #Trump in… https://t.co/KjaE98QETY"
9,Your (@SpeakerPelosi) uncontrollable hatred toward your President is palpable. Get some much needed counseling befo… https://t.co/DZBL8Wi0Wy
10,"SAA Repel a Nusra Front Terrorist Attack Southwest of Aleppo:

https://t.co/sBUUROc1nZ 
#Syria #News #Aleppo #Idlib… https://t.co/jGwIAJJmxe"
11,Thread by @SethAbramson: If America knew #Trump traded the continuation of his licensing deal at Trump Towers Istan… https://t.co/XrWNfW1cdv
12,#Biden Slams #Trump Over #CoronaVirus Health Crisis; #ATU Endorses Biden: https://t.co/Erqq0L6ALI @ATUComm @DNC… https://t.co/vl0BF3MGQ8
13,"Watching this &amp; hearing the #lies &amp; deception from #Democracy’s foes, hypocrites (#Trumpocrites), &amp; those who eleva… https://t.co/fY3EuzYbzm"
14,When you stand up and denounce #trump and is anti-Latino policies I will respect you as a fellow evangelical. Until… https://t.co/Z9FoAP8IBK
15,"Hollywood has been more heavily censored since 2001, films bashing US army &amp; CIA can’t go public:… https://t.co/sKz2VwbvfF"
16,"Here how you beat #Trump in 2020

Make a ticket of #BernieSanders and #HillaryClinton or vise versa

This way  You… https://t.co/sGsEYKPpms"
17,"@RollingStone Did legendary #AndyGill  die of #Coronavirus? Reportedly, he died in a London hospital after “a short… https://t.co/G8NB368V6u"
18,I'd suggest a game of a shot of tequila or whiskey w/every LIE out of #tRump or @seanhannity during the… https://t.co/5FPnDnzZXL
19,"@YehudisForNY @RyanAFournier @IlhanMN @RashidaTlaib @AOC If you hate socialism so much, start at the top.

Tell Don… https://t.co/T1NnFVpkaI"
20,@Lrihendry @BoothSail @Steigerworld Since when did you #T  rumpers or #TrumpIents (#Trump blind followers) care abo… https://t.co/zNuT9zHW7L
21,"ALX  🇺🇸 @alx 
Biden to #Iowa Voter: “I’m beginning to see why your wife left you” https://t.co/xwZk1XXdJZ
#Trump… https://t.co/covsIMll8T"
22,With the #StateOfTheUnion speech by #Trump on Tuesday one can speculate the #GOP will dictate to #POTUS what the fu… https://t.co/MjYEz9XkdT
23,"#ShaunKing had been proven to be a spammer &amp; is working with #BernieSanders who’s NOT a #Democrat, to sabotage the… https://t.co/R07wqUEES9"
24,https://t.co/UcxIQz49vU: Buying Choices: Materials and Mechanisms of Superconductivity Hig...… https://t.co/geVcYixHEu
25,"Certainly is encouraging to hear that Larry Kudlow, the Co-Chair of #Trump's #Nuclear Fuel Working Group, is now pr… https://t.co/FtLNsrRzFW"
26,@thegoodgodabove Glad this is not in the Netherlands. #trump
27,"@melsil #HarveyWeinstein is finally on #Trial

And #Trump the #SexOffender is in the #WhiteHouse    #SAD… https://t.co/SAY6IvcZsf"
28,"#JoeRogen updating his endorsement of Bernie, ""That doesn't mean he's going to be a great #president. I don't know… https://t.co/lOMU9cqc9D"
29,How does cutting all ties help get your side go peace? ✌️ ☮️  #Abbas #Palestinians #PalestineDealRejected #israel… https://t.co/jBsowJmK5O
30,@Squill_whispers @mickitiki @SenTedCruz @SpeakerPelosi On the List of 100 things Great about #Trump (to the 10% not… https://t.co/4jYkETef1j
31,@blackmgk1463 @Jeff00492635 @jmhlavac @dascotto @RickBritt61 @Scaramucci @realDonaldTrump He has made the rich rich… https://t.co/U0qIWeLsoD
32,"@THR #HarveyWeinstein is finally on #Trial

And #Trump the #SexOffender is in the #WhiteHouse   #SAD… https://t.co/E00KG7StLg"
33,"THEY ARE worried about #Trump losing&amp; practicing {unnecessarily i might add} FOR ""defending"" his 2nd term even tho… https://t.co/U7MorKsjYf"
34,@MeetThePress @SenAlexander @chucktodd It always amazing how #Trump and his #minions (or #sycophants) claim that im… https://t.co/o9KsjP8z4K
35,"""Super Bowl News: Dan Gainor Anti-#Trump news coverage of impeachment trial was Super Bowl of media bias #News"": https://t.co/BZCc4OD262"
36,"@PramilaJayapal #Fail #NeberBernie and never her... God awful time for politics, #Trump #Bernie. Never either. Won’… https://t.co/Tu9gKQN6oq"
37,@Indignity_jones @Lrihendry @QuiltinZen C'mon Sense Que: is it Ok for  anyone to look into what the Bidens did in U… https://t.co/6amfDZYqIB
38,@IamAllOutOfGum @realDonaldTrump @Lrihendry @PlaysTrumpCard @AnthemRespect @bfraser747 @ROHLL5 @atensnut… https://t.co/71aDpNOldN
39,"@CurtisGittelman Ok who are you rooting for? Maybe it would help if you supported them more fervently, volunteered… https://t.co/bt4P9INd25"
40,@CondreayDavid #2020Election You had me until you got to criminal charges.  I think threats like that are unproduct… https://t.co/Mpf9hEMx1h
41,"@davidmweissman @complainster In 2014 Steve Bannon studied how ISIS used #facebook to recruit across the world.

Th… https://t.co/OwjnvOiMOu"
42,"Who was/is the better #POTUS, @BarackObama or @realDonaldTrump??

Please vote and retweet to spread poll. Thanks!… https://t.co/c3JQSuN2WM"
43,"#HarveyWeinstein is on #Trial
And #Trump the #Rapist is in #WhiteHouse  #SAD https://t.co/qFieCcGb6g"
44,"However, US leader's current approval rating is almost the same as when he came to office.
 #FMTNews #Trump  https://t.co/DodQjRDfsc"
45,"Marc Lotter - Text TRUMP to 88022 @marc_lotter                   
America is WINNING with President… https://t.co/KMQswgdNsG"
46,"What #Trump has not done for you, but the #DemocraticHouse did accomplish:
Election reform and election security me… https://t.co/1Xnjs40VSZ"
47,"@blakehounshell In 2014 Steve Bannon studied how ISIS used #facebook to recruit across the world.

Then, he followe… https://t.co/4nKZEwiU8u"
48,"@realDonaldTrump @Scavino45 @RudyGiuliani @JaySekulow 
Signs of the times:
Thread by @starknightz: 1. Americans Are… https://t.co/5ScIp0VyR9"
49,@GOP @realDonaldTrump Seeing this from #trump might prove this debate right! Hit the link to share your opinion on… https://t.co/ws7AGYygM5
50,"@dontfalforit @IlhanMN No, specifically THIS is why #Trump spews #AmericaFirst .. it was his first dogwhistle to th… https://t.co/jv3mO6yliO"
51,"@GOP
 @GOPLeader
 @SenateGOP
 @HouseGOP
 @SenMikeLee @SenRickScott #Trump https://t.co/nzE2KCQxzh #LamarAlexander… https://t.co/9wYgoR5LpK"
52,"@SenSchumer @SpeakerPelosi @RepAdamSchiff Not only did #Obama+#ObamaLeaders do this to #Trump, #brennan Clapper… https://t.co/3CHIAQWa59"
53,There's no need for corrupt #Republicans to remove a criminal like #Trump from office... They're perfectly happy ha… https://t.co/mkIlfgimMX
54,"I do, and it is not #tRUMP! https://t.co/t3NNMbpEKQ"
55,"Obviously, #Trump has a condition called Marcissism.  It’s when you think you come from the Planet Mars &amp; you’re in… https://t.co/5A98LDxMIH"
56,"Kayleigh McEnany @kayleighmcenany  
Great to join @SarahHuckabee in visiting our incredible volunteers at the 
Trum… https://t.co/DgGAitSUQG"
57,@politvidchannel Ironically #JohnRoberts will preside over oral arguments when #Trump's #DoJ will argue that Court… https://t.co/pNbCgB3mBv
58,@jahimes @AshaRangappa_ It’s #Trump opinion that they fear
59,"What are you &amp; #Trump hiding, @MittRomney @lisamurkowski @SenSusanCollins @SenAlexander @SenCoryGardner @ThomTillis… https://t.co/wwtNSiaRRO"
60,"@sprinklesvintge @dvillella @LindseyGrahamSC The polls are ""Trash"" because you don't want to hear 
 results that yo… https://t.co/fAhbQR2kF0"
61,@realDonaldTrump @POTUS Americans should they congratulate you M. #Trump ?Do you do the miracle of stopping the… https://t.co/I7mKtHyvYz
62,#BernieOrBust supports to me have to be stupid. If #BernieSanders lose the nomination we get another 4 years of… https://t.co/SIvsW0pTwr
63,WHEN WILL THE ADM INVESTIGATE THIS CRIMINAL RUNNING 2-B LEADER OF THE FREE WORLD! YA GONNA JUST LET #TRUMP BE DESTR… https://t.co/BLLIG0zsxM
64,"Thread by @starknightz: 1. Americans Are More Satisfied in Economy, National Security After Three Years of Trump: G… https://t.co/f6Dgixos6X"
65,"OMG that sounds something like #Republicans would do at #ImpeachmentHearings. Oh wait, they DID did that at the… https://t.co/9fVV0SWqmv"
66,"@thehill It's also to remember that no matter what our personal preference is, beating #Trump and the #GOPSenate is… https://t.co/czX8A9oQdw"
