,text
0,"@RealJamesWoods Last 18 hours:
Our #POTUS45 ...
✅ Huge Trump Rally in Charleston 12,000 plus
✅ Conveens Emergency… https://t.co/E0VDvyLzpg"
1,@SecAzar WE THE PEOPLE ARE NOT* PAYING TO GET TREATED FOR THE #CORONAVIRUS. I’m reading reports Americans are recei… https://t.co/pOVP80M9xg
2,"As of 29/02/2020. Confirmed cases in areas outside PRC are picking up speed.
#nCoV19 #coronavirus #COVID19… https://t.co/gbgc5OqPsW"
3,Pope confirmed to have #COVID19 #CoronaVirus.... Coincidence? I think NOT...
4,"@MrTommyCampbell A new case in Ajax, close to where I live.
Sick stay home.
#coronavirus"
5,NEO-Age Art by MOnKe’J #CoronaVirusUpdate #coronavirus #CoronaVirusUpdates https://t.co/yto1sO3not
6,There are significant announcements on #Coronavirus and hypothesizing. Time for that was 4 weeks ago. Being a panic… https://t.co/w01Eo7mrrV
7,"Yall 40-60% americans will contract this #coronavirus , thats scary af."
8,Are we going to see over time the advantages of geographical isolation. Island nations doing better as flights are… https://t.co/VCjf0j0FEY
9,Know the facts. Believe the science. Don't panic. And don't use this as an excuse to spew racist crap. #coronavirus… https://t.co/gWSQKIoM0B
10,Obviously it was only a matter of time before the #coronavirus got in to the Republic  of Ireland 😳😬 and no I won't… https://t.co/H2Rkk6DeSx
11,@Oilfield_Jobs I go out among a largely Asian population all the time and I never wear a mask. I've probably been b… https://t.co/HmNMrk48Dk
12,For real this totally helped + vitamin c. Stay away #coronavirus https://t.co/HC4VXuxBqZ
13,https://t.co/ER9y7lLJmD You can't find it if you aren't looking... #coronavirus #coronavirususa  #Coronavirustruth… https://t.co/Jao47niOj4
14,"#HandSanitizer #Coronavirus #Culture Oh my god, just wash your hands https://t.co/JrKt9lQimZ https://t.co/CFruD1OFre"
15,"#BREAKING: Health officials confirm a 4th case of #coronavirus in Santa Clara County. An adult woman, who is a hous… https://t.co/7q0kbnYbNy"
16,Another great #shortwave podcast episode. Answered all the questions I've been asking about the #covid19… https://t.co/tnGGug1FwI
17,#COVID19 outbreak on the #DiamondPrincess cruise ship: estimating the epidemic potential and effectiveness of… https://t.co/hdGhu5XNuX
18,"@MaevenMorrigan @briantylercohen Yeah well, ask yourself why the Taliban is coming to the table. Trump probably tol… https://t.co/EQz6xddhTv"
19,The picks are in for tonight! @AEWrestling #AEW #AEWDynamite and lets got for the #coronavirus https://t.co/9uJqkRybBt
20,"That's patient #2 being wheeled out.

#coronavirus #NCP #nCoV2019 #COVID19 #SARSCoV2 https://t.co/HYBgCUoD7z"
21,"Sunday 1st March 2020. Today, the #coronavirus will surpass 3000 deaths globally. Fact. #COVID2019"
22,"It is a serious infection affecting mostly corrupt politicians and white racists! No not #coronavirus to

It's… https://t.co/vEk0537jw3"
23,"As someone who lives in the east and has to deal with the public daily in work, I will now be enforcing a strict 6f… https://t.co/H4wqKyAM9R"
24,"Oregonians, @SenJeffMerkley has created a Coronavirus page to keep us updated on COVID-19.

https://t.co/gawdrNrMy6… https://t.co/GdcuqO0b4V"
25,"WHAT❓
THEY MUST PAY
FOR THESE TEST-KITS❓🤬

IN EVERY OTHER COUNTRY IN WORLD

THEY DON'T NEED TO PAY,

BECAUSE THE GO… https://t.co/Kr9inUcWsl"
26,"Hey @PURELL I like your messaging but may I suggest - be SAFE, be WELL, be HEALTHY, be PRECAUTIOUS #coronavirus… https://t.co/wlqYTVsEK6"
27,"UPDATE: KirklandFire quarantined the firefighters who responded to #coronavirus situation at LCC nursing home, in a… https://t.co/ePNPAMlX7a"
28,#Coronavirus is Earth's antibody who's trying to heal itself from the disease called Humanity.
29,"ICYMI Not only did he get the info wrong, neither trump or pence had any thoughts and prayers for the family of the… https://t.co/lFrXzuINWc"
30,With the growing concerns about the spread of #coronavirus ? One has to pay attention to the added fuel this gives… https://t.co/WHQODwX4QP
31,"@Nimbi3t @tagesschau Is it #coronavirus in Freiburg im Breisgau, a vibrant university city in southwest Germany’s B… https://t.co/2kmlf4RAZs"
32,"“A very dishonest question.” To anyone afraid of the truth that’s the ultimate oxymoron.

#coronavirus #TrumpLies https://t.co/PJOEuoPWCb"
33,BREAKING: Officials at @HealthySCC have confirmed a 4th case of novel #coronavirus in Santa Clara County. @KQEDnews
34,The one question I would like to know from the coronavirus is did the patients who’ve died from the virus so far re… https://t.co/oW24lgy8NJ
35,Run out of toilet paper during coronavirus? Get a portable travel bidet instead - https://t.co/YnwqPKouGM… https://t.co/lxMcxgse2P
36,"💥#Coronavirus can ""Come Back to Life"".

Just because it goes away does not mean it won't come right back.

Beware o… https://t.co/GbfhO1WCRr"
37,Governments know they cannot deal with a #coronavirus epidemic as they don’t have the necessary protective equipmen… https://t.co/ERvmnNCl3U
38,"#WouldntItBeGreatIf people didn’t panic about #coronavirus, stopped treating specific populations like pariahs even… https://t.co/7zMvJ8fTjw"
39,"F.D.A. Expands #Coronavirus Testing in the United States: Science - The New York Times https://t.co/Xx6EhmkdT7

Mor… https://t.co/gs2UzYJHgS"
40,I wish @ewarren was in charge of our nation’s response to #coronavirus. No one better to stand up an expert and eff… https://t.co/nGxtrH30NH
41,#coronavirus for President.
42,New York’s tax base is both exceptionally wealthy—and exceptionally fragile. The Empire State is acutely vulnerable… https://t.co/vewb2EnRBm
43,This post shows how much less space spaghetti takes up compared to other pastas. https://t.co/NuWMpVQyOt #COVID2019… https://t.co/CylHa8ragr
44,Why even the 1% are not safe from the #coronavirus. https://t.co/4MLN48oSxn
45,"hope?
https://t.co/heWT0gyknG
#coronavirus"
46,"Stormy Faye The Christian Runaway 

Reposted from @kenjeong 

My thoughts. #Coronavirus  

- #regrann… https://t.co/Osci9JNdEq"
47,"FFS, GOP, do you think #coronavirus only kills Democrats? Is that why your cowardly asses sit mute while this moron… https://t.co/JT0nesZ0Pn"
48,@JWrightforCA34 @CIA Thank you for taking  #coronavirus so serious. https://t.co/9sleE9YQTT
49,#IfTwitterEndedTomorrow I would be forced to create a vaccine to prevent the #coronavirus. I would cure multiple di… https://t.co/AuBnYJQVen
50,"Nearly 10,000 people in #California alone are currently being monitored for the #CoronaVirus. That part about… https://t.co/Z2MrGbjGp5"
51,Nigerians should hold Buhari responsible if #coronavirus spreads.
52,"When did #BillGates become an expert on the #flu, #pandemics, and #coronavirus?"
53,"@CDCDirector @CDCgov @RichardGrenell @mikepompeo @PressSec @jaredkushner @IvankaTrump 

Sounds like a political set… https://t.co/e6FESmXq4v"
54,"Warsh your nasty crumb snatchers, and if it’s wet, DONT TOUCH IT. #coronavirus"
55,"The 51-year-old woman returned from Iran on Feb. 22 and went to an Ajax clinic on Friday Feb. 28 with a cough, body… https://t.co/ExeaVQklgR"
56,"Oct. 15, 2014, @realDonaldTrump said @BarackObama had a ""personal responsibility"" to visit and embrace ALL people i… https://t.co/ZdJXIR9V3K"
57,@NancyLeeGrahn a mask  will not help  viruses can still find their way into ur body via ur eyes    hoard up on frui… https://t.co/1OK0V9mOwP
58,"#CORRECTION: An earlier report stated that it was a woman who died of #coronavirus in #Washington state, #US. That… https://t.co/2W3LgkZnps"
59,"Health officials in #SanDiego are monitoring 141 people for #coronavirus, but stress there are currently no confirm… https://t.co/ixXXYUCvpD"
60,One effect of the #coronavirus: the whole world has a common enemy. If you believe the Hollywood fantasies (case st… https://t.co/aviUftkERZ
61,"@irlety36 @robinfromjapan He's got the flu.  I doubt the validity of the 'corona virus test'. Abstract tests, where… https://t.co/qg33MfUbca"
62,"#Coronavirus :Trump Expands Iran Travel Restrictions - The New York Times Coronavirus Live 
The announcement includ… https://t.co/qtuLUAoix8"
63,How #Coronavirus Is A #MajorDisrupter To The #SportsWorld https://t.co/HCUFvHxTCZ
64,"During his Saturday #coronavirus press conference, #Trump misidentified the first #COVID19 victim as a woman instea… https://t.co/aEW0XG1q4p"
65,@ChrisLu44 @Cruellaisdevine All those airport drivers become nodes for infection.  #coronavirus
66,"@RickyRayinGA @erotao @POTUS Schumer, Pelosi &amp; Cronies planned funding to include their cut in #coronavirus… https://t.co/QMi9d81Kmx"
67,A fairy tale ending: China’s battle against the epidemic transforms into political slogans https://t.co/5hKlEe7y7n… https://t.co/Log6Va3HXO
68,"Clever move by the HSE, telling us they’ve confirmed a case of the #coronavirus in the Republic, but won’t say wher… https://t.co/pvEGcGow9c"
69,Hey if anyone has video of photos of their local stores having trouble staying stocked or people stocking up more t… https://t.co/nUkMs5V2RN
70,No communication prior to arrival? No PPE? No city can lose a crew for 14 days every time they go to a nursing home… https://t.co/4NZKjGt7D0
71,With this #coronavirus spreading and the first death I’m only going to fill my tank halfway....I don’t want to go t… https://t.co/wh8pMUEaas
