,text
0,"FIRST 1-on-1 Democratic Debate on NOW.

Watch:
https://t.co/Ia3dpBk43R
https://t.co/fmKIXgU44g
https://t.co/iicO2BVela

#notmeus #covid_19 #covıd19 #coronavirus #coronavirusoutbreak⚠️ #medicareforall #unbought #bernie2020 #berniebeatstrump https://t.co/vZ8WVCkf56"
1,"Stay safe, everyone. This, too, shall pass.
.
.
.
.
.
.
.
.
.
.
#staycalm #quarantine #quarantineandchill #socialdistancing #covid_19 #coronavirus #washyourhands https://t.co/zjbvT5PfwM"
2,"@ProudResister @renbri13542 @JohnCooper4Nash @GovBillLee - with Steve Smith refusing to comply, this what we need to see here. He is putting tourists at risk, tourists who will return home to THEIR communities. #coronavirus #coronavirusnashville #NashvilleTN #nashville"
3,"CNN DEBATE RIGHT NOW: Joe Biden said he would put the military out on the streets now, during this national emergency. @CNN #coronavirus #DemocraticDebate https://t.co/pnuaRWXPVg"
4,There are now more confirmed #coronavirus cases outside China than within the country. https://t.co/EqIht329gi
5,“Tsttgth tsttgth Dis.. curve...this bump ...this pain!” ....Whew child #SleepyJoe #DemocraticDebate #coronavirus
6,"Ready to work and teach from home 👍
#coronavirus https://t.co/m3m6hbdYP5"
7,@chicagobulls I’m glad that during this difficult time that the #Bulls and the #Blackhawks will pay their game day employees despite the #coronavirus outbreak. They did the right thing and all the teams and sports league should do the same.
8,"If you haven’t checked out this simulation yet, please do. It really emphasizes how collective action can make the #coronavirus outcome much better. 

#FlattenTheCurve https://t.co/0EbUGSiyM2"
9,".@realDonaldTrump I hope you are not considering an interstate travel ban; unconstitutional-TENTH AMENDMENT-right of the states to issue NOT the Federal govt,  #coronavirus is not even as deadly as influenza! NO MARTIAL LAW! https://t.co/fNo656QLRJ"
10,"All loan companies, rent collectors, you need to suspend payments and dues NOW. #coronavirus"
11,Have to say I’m dissappointed that @SenSanders didn’t have a more robust plan for #coronavirus. Going back to Medicare for All doesn’t help here. He should have shared details about a strategic plan for this particular crisis.
12,If you're watching the #DemocraticDebate support local businesses by ordering in dinner during the #coronavirus . . . you have to eat while you #StayAtHome and practice #SocialDistancing so you might as well support you local businesses . . .
13,Some people refer to bad times as “the skinny cows”. #2020 has had the most anorexic cows we’ve all seen in quite some time. #coronapocolypse #COVIDー19 #coronavirus
14,"Bernie talking about how the #coronavirus  pandemic affects the elderly, kids that have to stay home from school, their parents, people in prison, and homeless people, and the most vulnerable people is THE SHIT I LIKE TO SEE #DemDebate"
15,"Bernie Sanders on the #coronavirus pandemic: ""What I worry about is not only how we respond aggressively to the virus, but also how we respond aggressively to the economic fallout of the recession."" #DemDebate"
16,"Pffft! The #coronavirus is for plebes, not me.... though I may claim I have it for a headline grab. I’ll go all #TomHanks on #Instagram... 👠👠 https://t.co/XvlYsDGHyn"
17,"@Kilsally @RobinSwannMoH @vaughangething what a foolish decision... really hope you don’t regret this 

Please read what #Italy #Spain are going through... you really need to wake up ! 

#coronavirus #covidー19uk #LiarJohnson"
18,#DemocraticDebate Biden is lying. He didn't say shit when #coronavirus broke out.
19,@LBC @NIAbbot Isn't it obvious why testing for #coronavirus is only being done for people in hospitals is so the numbers announced daily are kept low. I.E. #FiddlingTheFigures
20,"Egypt, like all #mediterranean cultures loves to do a continental kiss to greet people... #coronavirus is here so please stop it. 😙😗😘😚#مصر https://t.co/yaXxV87fa4"
21,"Tonight’s Rules

Drink every time 
1. They say #coronavirus or #COVID19 
2. Bernie’s hands go above his head
3. Joe doesn’t finish a sentence/thought

#DemDebate #DemocraticDebate"
22,One is the #Coronavirus. One is #WrestleMania. One is the city of #Tampa. https://t.co/8Aj9Q7FYlO
23,🚨 NEW MUSIC VIDEO OUT 🚨 click on the link now ⏩https://t.co/7j7eVyHjYM⏪ #coronapocolypse #ShutItDown #StayTheFHome #GenX #californiacoronavirus #coronavirus #HighRiskCovid19 #COVID19 #StayHome #CoronaVirusUpdates #CoronavirusOutbreak #SocialDistance #WONHOMECOMING #Trump https://t.co/TSHwQUyIeQ
24,@ezralevant F*cking useless Liberals should be locked up together with a live #Coronavirus 🧐👇
25,"So, Vatican City has a pretty bad problem according to Worldometers. #worldometers #coronavirus #COVID19 https://t.co/fPEXShTVPz https://t.co/qYyvlWdJ8C"
26,#coronavirus Will take a year to 18 months to validate a vaccine. Wow we could all be dead by then 😱
27,“Who’s going to respond to the half million #homeless people in this country during this crisis?” @BernieSanders #coronavirus #COVIDー19 #DemDebate https://t.co/gogBxvmF9H
28,"@SenSchumer #COVIDー19 #coronavirus #COVID19  @POTUS @CNN @FoxNews 
 I wonder why you deleted this tweet https://t.co/YX3L7DdWqa"
29,"I don't know who needs to hear this (aside from Joe) but #CoronaVirus is not ebola #DemDebate 
And Joe is not Obama"
30,Wonder if the #coronavirus has made it to #Westworld 😳 #WelcomeTo2058
31,"If #China does develop a cure for #CoronaVirus, it would be to their advantage to demand #USA drop all sanctions in order to get it

#trump knows this and is terrified someone outside #USA may develop it first and make demands of #USA in return"
32,"A really good example of seemingly healthy people carrying the #coronavirus 

If you’re a healthy person &amp; feel you can survive it, be considerate of those who might not. https://t.co/fc6uWDTY66"
33,Trump announces new #coronavirus test. #pandemic #COVIDー19 https://t.co/mHLZWtGEnl https://t.co/3Pjwp9oOF6
34,"Holy shit. Watching #DemocraticDebate and Bernie is worried about husbands needing psych care if the wives get #coronavirus &amp; not having coverage for it.

I just told my hubby if I get sick his “safe space” is in the bathroom. Or the garage. 😂🤣😅

He’s headed there now. 👀"
35,"So according to #BernieSanders at the #DemDebate, #Trump screwed up by praising #China's initial #Chinavirus response, but now the US needs to focus on working with #China.  #TrumpDerangementSyndrome #DemocraticDebate #coronavirus #ChinaVirus #election2020"
36,California just asked millions of seniors to isolate themselves. How that would work. latest on #coronavirus with @RyanSabalow https://t.co/tctQiaXwSb
37,"Please read the statement below regarding Spring Roll and the recent #coronavirus outbreak. We hope you understand our cautious decision. Your safety is our number one priority!
Registration is still open for anyone who is interested. https://t.co/8j25BglcXk"
38,@DoctorVive Yea I turned it on to a blatant lie by #Biden. I don’t think I can watch much longer as #cnn wouldn’t let #BernieSanders correct him. Biden said all the care &amp; treatment of #coronavirus will be free for all. That is patently untrue. Dangerous lie. #DemocraticDebate
39,"Mutual funds, ETFs, robo-advisers &amp; hedge funds experiencing capital market losses due to the #coronavirus &amp; #oilprice induced volatility should waive management fees rather than exacerbate their clients’ losses. 
@markets @WSJmarkets @BNNBloomberg #oott #investing @ETFEdgeCNBC"
