,text
0,"Government is us. 

When you run to dismantle it, you run to dismantle all of us. 

Is anyone really surprised this is happening to our country? 

#NoTestsAvailable #itwillmagicallydisappear #DemocratHoax #cutfunding #denial #pandemic #Trump"
1,"The #existentialThreat is a system that hatches fascist politicians like #Trump, leaves 10s of millions of ppl w inadequate #healthcare, burns the planet 4 profit w #ClimateChange, &amp; sees almost every1 working day-2-day w nothing to show. #biden is that threat. #bernie is cure."
2,"True Story."" 😂😂😂 
[[Follow 4 more]] 
TAGS: 
#FUNNY #COMEDY #VOICEOVER #POSTONEOFYOURV #MADLIPZ #ACTING #LIPSYNC #DUBS #VOICEACTING #TRUMP #PARODY #CARRER #DUB #PRESIDENT https://t.co/h87pxiUPE8"
3,Right to try can reduce the timeline #trump #fda #coronavirus $xlv https://t.co/Z0Mwg6uxX9
4,"@realDonaldTrump @DonaldJTrumpJr @WhiteHouse @BernieSanders @JoeBiden There you have it folks. The #potus seeking to profit from a vaccine for the #coronavirus 
#COVIDー19 #coronapocolypse #trump #DumpTrump2020 https://t.co/23zbrVLn4Z"
5,"Started putting my work up on @Medium regarding Brazil’s descent into authoritarianism under Bolsonaro, for foreign policy junkies.

#Bolsonaro #Brazil #Trump #ForeignPolicy 

https://t.co/IIrtpkhBpo"
6,"@tribelaw His followers r as bad as #Trump supporters &amp; nothing Biden does (even when he agrees) w/frumpy ass Bernie, his followers r determined 2 not accept anything! They’re set on NOT VOTING 4 him or at all! It’s a waste of time bc they just want 2 fight a fake revolution &amp; complain!"
7,via @LN060711 #COVIDー19 #COVID #coronavirus #coronavirusUS #coronavirusuk #herdimmunity #Herd_Immunity #LabRats #HerdimmunityIsMurder #Trump #Boris #whiteSupremacist #eugenicist #eugenics #eugenicists [#DominicCummings advises #Bojo] https://t.co/tJTBjsTR1n
8,#Trump Now #BlamingAmericans for Not Getting #CoronavirusTests That Don’t Exist #TrumpPlague #TrumpIsTheWORSTPresidentEVER #Trump2020LOL  https://t.co/MeUMtOgIwy
9,"#Trump-kins:

Proud of Racism,
Proud of Greed &amp; Corruption,
Proud of Immorality,

Now, many are proud that #TrumpPlague w/ harm/kill others

SMH🤦🏼‍♂️ = i really do not understand https://t.co/7ZnLY51zcx"
10,Get ready #america #trump will be invoking the #staffordact within the next 48 to 72 hours. Mandatory #Quarantine for #2weeks
11,@chesleydohl I knew you’d have a #trump in your profile -
12,"Will keep retweeting‼ Numbers may change, however,  it IS all political‼ Dems are SO desperate‼ They know American Patriots, nor,  #TRUMP will back down‼ https://t.co/3Wj9R3rEoC"
13,.@realDonaldTrump #retweeting for kicks. @JoeBiden Feel free to use this #DemDebate2020 #Trump #TrumpCrash #Trumpdemic #TrumpPlague #DumpTrump2020 #shortstory #horror https://t.co/4IWpcrQvDm
14,What a dirtbag #Trump #COVID19   https://t.co/PtqWEuntAE
15,#trump He is increasingly irrelevant in smooth operations of the #COVID19 crisis. Pence et al are actually shining without his presence. #penceforpresident #DumpTrump2020 #TrumpIsIrrelevant
16,"@davidaxelrod @JoeBiden @BernieSanders No, my dude. Bernie looked like everyone's grandpa yelling at the nightly news saying what they would do 'if they were in charge' and Joe looked like a President with solutions. Don't spin this shit in the age of #Trump and #COVIDー19. We have eyes and ears."
17,"Great #thread on why #Trump especially but the modern #GOP in general are so ill-suited to handling something like the #COVIDー19 pandemic. Their go to weapons of scapegoating &amp; FUD are irrelevant &amp; the best approaches are what they think looks like ""weakness"" or ""submission"" 👇 https://t.co/bjf7fVpwvp"
18,Shut up....Many Hispanic voters voted for Trump in 2016 for reasons I can never understand....You need to go ask them what they were thinking...#Bernie ain’t gonna be the nominee so if they choose not to vote for #Biden then may be they deserve #Trump https://t.co/yerKfgCRxW
19,"Trump wants to cut down half of Alaska’s rainforest called tongass! What a loss for everyone, humans nature and animals. 😢
#tongassnationalforest #tongass #trump #rainforest #deforestation #helptheplanet #forest https://t.co/gtIlcMqmuu"
20,@f_mols All #Trump has is “tremendous” and “incredible” He is totally “incredible”
21,UR Not Lying like #LyingJoe! PS #Trump &amp; #Biden R the same! #VotedForBernie B/C I share his core Values  #AZ #OH #FL #IL @AFSCME @AFLCIO https://t.co/qkMr1QVAv4 https://t.co/uydou8ZxMt
22,@realDonaldTrump I would like thank you for everything that you are doing to prevent the spread of this terrible virus. Thank you so so much!! You are truly an inspiration to the American people. You definitely have my vote for the upcoming election!!#Trump #StopCoronaVirus
23,"⬇️⬇️⬇️⬇️🆘🆘🆘🆘😡😡😡😡🚫🚫🚫🚫🚨🚨🚨🚨🗣️🗣️🗣️🗣️📣📣📣📣‼️⁉️‼️⁉️💀💀💀💀⚠️⚠️⚠️⚠️👇👇👇👇🎯🎯🎯🎯🤯🤯🤯🤯

#VOTE #MAGA #MORON #TRUMP OUT OF OFFICE!?! #LiarInChief #TrumpPlague #TrumpIsTheWORSTPresidentEVER IS TWEETING ABT #HillaryEmails WHICH WERE INVESTIGATED &amp; ∅ FOUND WRONG‼️‼️ https://t.co/qWPCOQ5e49"
24,Yeah That’s RIGHT- @realDonaldTrump WAS RIGHT again! This was what #Trump Tweeted in 2012 - Same man then as NOW! Ty Sir for leaving your fabulous LIFE &amp; helping SAVE America! Millions upon Millions #SupportTrump https://t.co/DlZ820bfso
25,"White House Says More Testing coming https://t.co/oYltwrgoa9 Maybe it's me? Didn't Pence promise Americans ""millions of test kits"" like 2 weeks ago? 4Kx7= 28,000 tests per week does not square up with millions. #WherearetheTestKits #Coronavirus #Trump"
26,"WhyDoes This 24 Hr Pimping of Trump, Media Who Continues 2 Act Like #HillaryClinton, Was So Bad &amp; #Democrats Just Hated Her. That's Why #Trump Won, When There Were Many #Gerrymandered  Reasons She Got #350Million More Votes That's Not Hate 4 Her OtherThen #Republicans #CNN #MSNBC"
27,"@cbrnetaskforce @theR_Man_ @Dvscott81Scott @Ecomemory1 @GreyBeard_Biker @Pat_riots2KAG @magafiesta @ec_kag @ItsOnlyDawn @SexyAssPatriot2 @JodyBelcher7 @1lucyhannah @mcpaintdoctor What isn't these days?

#Trump on #China is the #USA wake up call! https://t.co/YKxBKf7COB"
28,Listen to 👉Donald Trump by Mac Miller #Trump #Hiphop #Damusichits https://t.co/u41Z7H7iQX https://t.co/a3R388GIZo
29,"NEVER underestimate your foe/enemy

#Trump #Trump2020 #MAGA #MAGA2O2O #MAGA2020Landslide #KAGA #Kagame #KAGA2020 https://t.co/vL8eZoQJ1X"
30,"@drellenr Yep, it’s a GREAT HAT! #USA 

#TrumpBestPresidentEver #MAGA #KAG #TRUMP #Trump2020 #VoteRED"
31,"If he had half as much leadership as  ""the snake"" America might have a handle on #COVIDー19 #inslee #trump #maga #donniedumbfuck #coronavirus #takenotes #StaySafe"
